top 10 with duplicates 
0 (36184, 'rrc12', '185.228.94.0/24') (35194, 'rrc12', '2a14:7581:4444::/48')
1 (36142, 'rrc12', '103.84.52.0/24') (33836, 'rrc12', '2602:feda:d64::/48')
2 (29650, 'rrc03', '185.228.94.0/24') (33303, 'rrc12', '2a13:a5c3:1000::/36')
3 (29533, 'rrc03', '103.84.52.0/24') (33166, 'rrc12', '2a0f:5707:fff5::/48')
4 (28754, 'rrc25', '185.228.94.0/24') (32630, 'rrc25', '2a14:7581:4444::/48')
5 (28152, 'rrc25', '103.84.52.0/24') (32084, 'rrc12', '2406:840:f890::/48')
6 (24609, 'rrc01', '185.228.94.0/24') (30998, 'rrc25', '2602:feda:d64::/48')
7 (24496, 'rrc01', '103.84.52.0/24') (30245, 'rrc25', '2a0f:5707:fff5::/48')
8 (24400, 'rrc12', '207.167.116.0/22') (30039, 'rrc12', '2a0f:7803:ffd1::/48')
9 (23600, 'rrc00', '185.228.94.0/24') (29993, 'rrc12', '2a0e:8f02:2230::/48')
