top 10 without duplicates 
0 (36184, 'rrc12', '185.228.94.0/24') (35194, 'rrc12', '2a14:7581:4444::/48')
1 (36142, 'rrc12', '103.84.52.0/24') (33836, 'rrc12', '2602:feda:d64::/48')
2 (24400, 'rrc12', '207.167.116.0/22') (33303, 'rrc12', '2a13:a5c3:1000::/36')
3 (23455, 'rrc12', '84.205.66.0/24') (33166, 'rrc12', '2a0f:5707:fff5::/48')
4 (22992, 'rrc25', '181.225.48.0/24') (32084, 'rrc12', '2406:840:f890::/48')
5 (22471, 'rrc12', '195.177.202.0/23') (30039, 'rrc12', '2a0f:7803:ffd1::/48')
6 (22169, 'rrc25', '181.225.43.0/24') (29993, 'rrc12', '2a0e:8f02:2230::/48')
7 (20036, 'rrc12', '196.40.192.0/18') (29785, 'rrc12', '2620:149:6048::/48')
8 (19271, 'rrc12', '185.18.201.0/24') (29761, 'rrc12', '2a05:dfc1:1b03::/48')
9 (18760, 'rrc00', '103.31.116.0/23') (29650, 'rrc12', '2620:149:7008::/48')
