hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
57344,27.460901563937444,226,145,716,1,371
43009,12.235510579576816,10,246,831,1,135
196610,12.833486660533579,7,265,815,1,142
28676,12.18951241950322,7,251,829,1,118
20485,41.214351425942965,16,864,207,1,1559
12297,16.83532658693652,15,336,736,1,179
57353,11.269549218031278,3,239,845,1,99
12301,12.64949402023919,10,255,822,1,179
12306,13.339466421343147,21,248,818,1,162
32787,17.249310027598895,68,239,780,1,984
28693,11.545538178472862,3,245,839,1,110
8218,44.75620975160994,50,873,164,1,1685
43037,12.097516099356026,4,255,828,1,126
49183,11.775528978840846,7,242,838,1,120
200735,11.913523459061638,4,251,832,1,113
55329,12.78748850045998,32,214,841,1,161
200738,12.465501379944802,7,257,823,1,125
12322,12.78748850045998,43,192,852,1,156
12329,14.0754369825207,29,248,810,1,161
10282,11.913523459061638,7,245,835,1,123
26667,14.443422263109476,45,224,818,1,175
28716,39.19043238270469,11,830,246,1,877
206892,12.281508739650414,6,255,826,1,123
30766,11.86752529898804,3,252,832,1,116
34863,13.293468261269549,33,223,831,1,146
42,18.675252989880406,91,224,772,1,406
12337,12.97148114075437,8,266,813,1,163
45102,14.581416743330267,37,243,807,1,217
34867,11.545538178472862,9,233,845,1,126
47147,47.47010119595216,42,948,97,1,1353
28725,14.627414903403864,43,232,812,1,198
59437,11.361545538178472,4,239,844,1,107
8245,12.557497700091997,9,255,823,1,137
34872,43.97424103035878,33,890,164,1,1063
6204,14.903403863845446,59,206,822,1,196
30781,42.77828886844526,38,854,195,1,1198
24637,12.603495860165593,8,258,821,1,150
57406,45.21619135234591,39,905,143,1,1419
24640,5.93376264949402,2,125,960,1,20
20546,13.75344986200552,29,241,817,1,171
12355,13.155473781048759,23,240,824,1,149
198726,13.155473781048759,10,266,811,1,146
2119,24.70101195952162,41,455,591,1,638
12360,12.373505059797608,4,261,822,1,125
41033,11.821527138914444,5,247,835,1,134
8262,19.54921803127875,62,301,724,1,262
10310,16.55933762649494,76,208,803,1,352
200780,48.528058877644895,21,1013,53,1,1044
139341,15.915363385464582,55,236,796,1,283
28748,12.281508739650414,3,261,823,1,121
34895,11.545538178472862,4,243,840,1,108
204881,12.051517939282428,4,254,829,1,115
20562,39.55841766329347,69,722,296,1,1355
213075,10.441582336706531,8,211,868,1,90
41047,48.75804967801288,77,906,104,1,2952
28760,11.269549218031278,4,237,846,1,106
6233,51.37994480220791,62,993,32,1,1743
47195,13.75344986200552,27,245,815,1,153
8283,14.99540018399264,56,214,817,1,224
12387,11.223551057957682,4,236,847,1,140
213092,7.911683532658694,9,154,924,1,41
28773,12.925482980680773,15,251,821,1,140
24679,11.775528978840846,3,250,834,1,111
196714,12.051517939282428,3,256,828,1,129
8298,51.747930082796685,60,1005,22,1,2135
34924,9.015639374425023,8,180,899,1,64
51310,11.913523459061638,8,243,836,1,117
34927,52.66789328426863,76,993,18,1,2660
12399,13.707451701931923,37,224,826,1,155
12400,15.915363385464582,53,240,794,1,305
47215,12.18951241950322,5,255,827,1,122
57455,10.671573137074517,3,226,858,1,93
59507,12.603495860165593,4,266,817,1,129
8309,30.864765409383626,48,575,464,1,814
8302,13.201471941122355,24,239,824,1,160
8304,14.949402023919044,53,219,815,1,187
8308,13.063477460901565,7,270,810,1,205
57463,16.42134314627415,60,237,790,1,263
30844,18.215271389144434,56,284,747,1,567
16509,16.467341306347745,65,228,794,1,363
198781,13.155473781048759,29,228,830,1,160
51324,11.08555657773689,3,235,849,1,100
8319,11.545538178472862,3,245,839,1,115
28801,10.62557497700092,3,225,859,1,91
36994,14.765409383624656,44,233,810,1,214
43140,10.763569457221712,3,228,856,1,96
4229,15.45538178472861,46,244,797,1,220
34953,13.845446182152713,32,237,818,1,170
211083,10.257589696412143,4,215,868,1,82
51343,11.683532658693652,11,232,844,1,107
37009,13.339466421343147,29,232,826,1,157
24723,12.005519779208832,3,255,829,1,134
24724,17.61729530818767,24,335,728,1,728
