hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
20495,50.0668449197861,1,747,0,0,514
57344,39.839572192513366,225,146,377,1,371
12297,24.264705882352942,35,293,420,1,179
47121,12.366310160427808,4,177,567,1,49
47122,11.43048128342246,4,163,581,1,27
57363,12.5,4,179,565,1,53
8218,37.70053475935829,64,436,248,1,1685
42,26.27005347593583,85,223,440,1,406
47147,38.63636363636363,50,478,220,1,1353
26667,20.989304812834224,41,232,475,1,175
213039,11.497326203208557,6,160,582,1,27
8242,11.96524064171123,5,169,574,1,33
49206,14.505347593582888,14,189,545,1,76
47160,18.048128342245988,18,234,496,1,134
12350,18.71657754010695,16,248,484,1,274
57406,41.44385026737968,46,528,174,1,1419
34879,12.5,7,173,568,1,49
10310,23.796791443850267,65,226,457,1,352
2119,30.3475935828877,34,386,328,1,638
8262,28.20855614973262,68,286,394,1,262
208972,12.232620320855615,8,167,573,1,37
200781,19.451871657754012,23,245,480,1,158
24652,9.558823529411764,4,135,609,1,10
41041,17.245989304812834,8,242,498,1,113
20562,38.70320855614973,73,433,242,1,1355
196695,11.831550802139038,3,171,574,1,87
41047,44.919786096256686,79,514,155,1,2952
6233,40.90909090909091,74,464,210,1,1743
41051,20.18716577540107,17,268,463,1,375
47195,19.719251336898395,39,217,492,1,153
28773,18.449197860962567,31,214,503,1,140
8298,43.31550802139037,76,496,176,1,2135
8302,18.983957219251337,38,208,502,1,160
34927,45.45454545454545,79,522,147,1,2660
12400,22.66042780748663,52,235,461,1,305
204911,12.232620320855615,6,171,571,1,51
16509,23.262032085561497,58,232,458,1,363
209022,22.12566844919786,12,307,429,1,321
61568,43.24866310160428,36,575,137,1,1699
47236,11.898395721925134,5,168,575,1,36
51333,13.770053475935828,6,194,548,1,72
51341,11.43048128342246,2,167,579,1,30
51343,16.91176470588235,25,203,520,1,107
24724,31.08288770053476,40,385,323,1,728
209045,15.842245989304812,6,225,517,1,102
30870,2.4732620320855614,5,27,716,1,7
39063,23.863636363636363,63,231,454,1,239
12440,20.58823529411765,45,218,485,1,170
34968,18.449197860962567,11,254,483,1,136
59545,17.8475935828877,8,251,489,1,123
8342,11.229946524064172,3,162,583,1,36
59554,12.834224598930481,4,184,560,1,53
32934,26.40374331550802,84,227,437,1,401
8359,26.737967914438503,40,320,388,1,848
20647,20.387700534759357,39,227,482,1,177
22697,22.794117647058822,63,215,470,1,235
30889,20.120320855614974,44,213,491,1,165
8365,19.852941176470587,39,219,490,1,174
174,32.68716577540107,52,385,311,1,6778
39087,12.165775401069519,4,174,570,1,40
24753,13.168449197860962,5,187,556,1,53
35000,16.644385026737968,6,237,505,1,170
137409,27.941176470588236,56,306,386,1,912
200899,11.831550802139038,6,165,577,1,37
14537,22.593582887700535,61,216,471,1,274
202955,0.26737967914438504,2,0,746,1,2
