hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
21320,50.08695652173913,1,574,0,0,153
513,8.521739130434783,41,16,518,1,57
8708,71.1304347826087,355,108,112,1,823
6661,7.217391304347826,17,49,509,1,185
40981,1.391304347826087,3,10,562,1,4
13335,38.78260869565217,12,422,141,1,1303
8218,46.43478260869565,25,484,66,1,1685
8220,43.65217391304348,16,470,89,1,1863
12322,6.521739130434782,11,53,511,1,156
4134,11.826086956521738,6,124,445,1,320
2602,5.478260869565218,7,49,519,1,61
2603,41.65217391304348,11,457,107,1,510
42,38.0,12,413,150,1,406
45102,11.304347826086957,7,116,452,1,217
2607,3.8260869565217392,3,38,534,1,32
559,27.652173913043477,23,272,280,1,1260
2611,36.69565217391305,8,406,161,1,150
2614,35.391304347826086,8,391,176,1,76
14907,44.34782608695652,16,478,81,1,1657
2107,4.434782608695652,4,43,528,1,20
2108,4.173913043478261,3,42,530,1,8
2110,4.260869565217392,4,41,530,1,39
10310,37.47826086956522,11,409,155,1,352
2119,42.69565217391305,9,473,93,1,638
2635,37.130434782608695,10,407,158,1,292
12876,36.34782608695652,10,398,167,1,154
1103,44.69565217391305,19,476,80,1,1075
19551,37.73913043478261,10,414,151,1,503
33891,44.608695652173914,19,475,81,1,1878
13414,12.08695652173913,10,119,446,1,227
57961,1.2173913043478262,2,10,563,1,4
132203,37.04347826086956,8,410,157,1,275
36459,5.043478260869565,2,54,519,1,63
8302,10.347826086956522,8,103,464,1,160
57976,37.21739130434783,10,408,157,1,313
30844,38.69565217391305,10,425,140,1,567
16509,38.17391304347826,13,413,149,1,363
198792,35.91304347826087,7,399,169,1,126
137,4.434782608695652,4,43,528,1,61
3208,1.7391304347826086,3,14,558,1,5
3209,35.82608695652174,4,404,167,1,192
3216,42.34782608695652,14,459,102,1,1721
6802,2.0869565217391304,3,18,554,1,12
16019,3.739130434782609,3,37,535,1,118
39572,10.0,6,103,466,1,118
3221,3.739130434782609,2,39,534,1,12
3223,37.130434782608695,10,407,158,1,441
2200,6.3478260869565215,8,57,510,1,115
31898,10.956521739130435,8,110,457,1,283
49820,9.217391304347826,6,94,475,1,83
33438,36.78260869565217,10,403,162,1,276
32934,37.65217391304348,12,409,154,1,401
61098,5.826086956521739,10,47,518,1,127
47787,44.69565217391305,14,486,75,1,3834
174,42.0,14,455,106,1,6778
7342,36.95652173913044,9,407,159,1,278
202425,4.521739130434782,6,40,529,1,88
18106,44.34782608695652,14,482,79,1,2140
199354,1.391304347826087,3,10,562,1,6
396986,36.869565217391305,9,406,160,1,325
1213,4.173913043478261,4,40,531,1,20
44224,1.2173913043478262,2,10,563,1,4
46786,36.34782608695652,8,402,165,1,130
3268,1.3043478260869565,2,11,562,1,5
58057,43.04347826086956,13,469,93,1,1930
714,37.65217391304348,11,411,153,1,313
136907,36.95652173913044,9,407,159,1,313
8400,11.91304347826087,10,117,448,1,291
54994,37.391304347826086,9,412,154,1,379
41690,36.08695652173913,8,399,168,1,183
6878,2.347826086956522,2,23,550,1,5
19679,37.04347826086956,9,408,158,1,187
6881,7.217391304347826,3,77,495,1,196
13030,45.21739130434783,21,478,76,1,847
3303,21.391304347826086,15,216,344,1,1177
2280,4.3478260869565215,4,42,529,1,31
2281,0.6086956521739131,2,3,570,1,3
8426,42.17391304347826,12,461,102,1,529
14061,26.956521739130434,13,284,278,1,1677
62715,6.086956521739131,8,54,513,1,123
766,4.782608695652174,2,51,522,1,47
8966,39.82608695652174,10,438,127,1,592
8455,42.17391304347826,9,467,99,1,558
56583,3.652173913043478,2,38,535,1,8
12046,1.2173913043478262,2,10,563,1,4
5400,13.826086956521738,5,149,421,1,151
6939,49.130434782608695,33,499,43,1,10627
3356,43.04347826086956,14,467,94,1,6656
15133,37.30434782608695,10,409,156,1,367
61211,8.956521739130435,3,97,475,1,41
2847,3.5652173913043477,2,37,536,1,13
5408,2.782608695652174,2,28,545,1,42
12578,36.78260869565217,8,407,160,1,279
13092,2.5217391304347827,3,23,549,1,7
1828,45.82608695652174,18,491,66,1,5711
20773,36.52173913043478,8,404,163,1,179
200999,4.173913043478261,3,42,530,1,20
22822,37.391304347826086,11,408,156,1,264
2852,36.69565217391305,7,408,160,1,223
9002,47.130434782608695,28,486,61,1,3277
24875,36.52173913043478,8,404,163,1,195
31529,5.913043478260869,7,54,514,1,205
26415,5.6521739130434785,7,51,517,1,196
9009,43.30434782608695,22,454,99,1,1196
8501,3.3043478260869565,3,32,540,1,33
6461,42.78260869565217,12,468,95,1,2626
1853,12.08695652173913,3,133,439,1,134
15169,38.08695652173913,13,412,150,1,395
8517,4.173913043478261,17,14,544,1,28
32590,36.95652173913044,9,407,159,1,312
36692,37.21739130434783,8,412,155,1,227
56665,36.95652173913044,10,405,160,1,221
