hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
393216,0.025889967637540454,2,0,7723,1,2
3,0.5566343042071198,14,58,7653,1,18
32772,0.025889967637540454,2,0,7723,1,2
4,0.0970873786407767,6,3,7716,1,9
9,0.4401294498381877,3,62,7660,1,8
14,0.045307443365695796,3,1,7721,1,4
327697,0.032362459546925564,2,1,7722,1,3
18,0.045307443365695796,3,1,7721,1,4
393235,0.038834951456310676,2,2,7721,1,3
20,0.0970873786407767,7,1,7717,1,8
393238,0.23948220064724918,14,9,7702,1,23
393241,0.07119741100323625,2,7,7716,1,6
327708,0.49838187702265374,28,21,7676,1,54
29,0.4336569579288026,4,59,7662,1,6
196640,0.42718446601941745,3,60,7662,1,4
34,0.05825242718446602,4,1,7720,1,6
196646,0.05825242718446602,2,5,7718,1,4
32808,0.47249190938511326,3,67,7655,1,14
262186,0.7572815533980582,27,63,7635,1,38
32810,0.05177993527508091,3,2,7720,1,3
393258,0.025889967637540454,2,0,7723,1,2
393259,0.07766990291262135,3,6,7716,1,4
327727,0.08414239482200647,4,5,7716,1,8
262192,0.05177993527508091,3,2,7720,1,5
196658,0.025889967637540454,2,0,7723,1,2
393268,0.05825242718446602,3,3,7719,1,4
55,0.42071197411003236,2,61,7662,1,6
32829,0.05177993527508091,2,4,7719,1,4
262206,0.7961165048543689,17,89,7619,1,51
393278,0.032362459546925564,2,1,7722,1,4
32832,0.05177993527508091,2,4,7719,1,4
62,0.9061488673139159,56,28,7641,1,123
196674,0.05825242718446602,3,3,7719,1,7
32837,0.42071197411003236,3,59,7663,1,5
393285,0.05177993527508091,2,4,7719,1,3
72,0.20711974110032363,7,18,7700,1,33
393289,0.032362459546925564,2,1,7722,1,3
131149,0.3300970873786408,7,37,7681,1,88
32846,0.025889967637540454,2,0,7723,1,2
393294,0.0970873786407767,3,9,7713,1,5
81,0.8090614886731392,32,61,7632,1,44
393301,0.05177993527508091,3,2,7720,1,4
393302,0.038834951456310676,2,2,7721,1,3
393303,0.06472491909385113,2,6,7717,1,6
393304,0.025889967637540454,2,0,7723,1,2
91,0.42718446601941745,3,60,7662,1,5
92,0.05825242718446602,4,1,7720,1,5
32863,0.05177993527508091,2,4,7719,1,3
393312,0.42071197411003236,2,61,7662,1,4
98,0.41423948220064727,2,60,7663,1,3
32867,0.13592233009708737,7,7,7711,1,10
393316,0.44660194174757284,3,63,7659,1,9
101,0.6666666666666666,15,73,7637,1,52
32869,0.4854368932038835,4,67,7654,1,18
103,0.42718446601941745,3,60,7662,1,7
262248,0.47249190938511326,6,61,7658,1,8
393319,0.06472491909385113,3,4,7718,1,7
393321,0.05177993527508091,2,4,7719,1,3
262253,0.11003236245954692,2,13,7710,1,27
