hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
196610,0.6270261047602799,5,137,11580,1,142
3,0.11516806005801059,11,5,11706,1,18
393220,0.04692032076437468,3,5,11714,1,8
32773,0.017061934823408974,2,0,11720,1,2
131079,0.05971677188193141,3,8,11711,1,10
393225,0.0981061252346016,3,17,11702,1,19
393227,0.08530967411704488,3,14,11705,1,14
196621,0.6910083603480635,2,158,11562,1,167
327693,0.22180515270431667,12,28,11682,1,48
196624,0.0981061252346016,2,19,11701,1,20
327698,0.0682477392936359,2,12,11708,1,13
131091,0.05971677188193141,3,8,11711,1,10
32787,1.5142467155775465,2,351,11369,1,984
393238,0.1450264459989763,12,10,11700,1,23
262167,0.05971677188193141,2,10,11710,1,11
393240,0.02132741852926122,2,1,11719,1,3
327705,0.017061934823408974,2,0,11720,1,2
32798,0.07251322299948815,4,9,11709,1,12
32806,0.055451288176079166,2,9,11711,1,9
32808,0.08104419041119262,2,15,11705,1,14
32810,0.02132741852926122,2,1,11719,1,3
262187,0.08957515782289711,5,11,11706,1,13
393259,0.02559290223511346,2,2,11718,1,4
327725,0.02132741852926122,2,1,11719,1,3
42,1.6592731615765228,2,385,11335,1,406
46,0.03412386964681795,3,2,11717,1,7
393268,0.02559290223511346,2,2,11718,1,4
327733,0.11090257635215833,2,22,11698,1,22
57,0.17061934823408975,11,18,11693,1,32
327741,0.02132741852926122,2,1,11719,1,4
262206,0.2346016038218734,11,33,11678,1,51
62,0.4777341750554513,47,18,11657,1,123
196674,0.04265483705852244,2,6,11714,1,7
262213,0.05971677188193141,2,10,11710,1,9
327750,0.09384064152874937,2,18,11702,1,18
72,0.11516806005801059,2,23,11697,1,33
327754,0.1279645111755673,2,26,11694,1,25
131149,0.2943183757038048,2,65,11655,1,88
77,0.10237160894045384,2,20,11700,1,19
327761,0.09384064152874937,2,18,11702,1,18
131156,0.06398225558778366,2,11,11709,1,12
196695,0.4777341750554513,38,36,11648,1,87
131160,0.06398225558778366,2,11,11709,1,12
131161,0.08104419041119262,2,15,11705,1,16
327767,0.11090257635215833,3,20,11699,1,22
327772,0.06398225558778366,2,11,11709,1,12
262237,0.0682477392936359,3,10,11709,1,12
32864,0.03838935335267019,2,5,11715,1,6
131171,0.03412386964681795,3,2,11717,1,7
32867,0.07251322299948815,6,5,11711,1,10
101,0.2559290223511346,14,32,11676,1,52
327782,0.2943183757038048,2,65,11655,1,93
32869,0.09384064152874937,2,18,11702,1,18
32872,0.03838935335267019,2,5,11715,1,6
