hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
6453,99.92458521870286,662,1,0,1,663
174,72.2473604826546,295,368,0,1,6778
57344,54.374057315233784,58,605,0,2,370
43009,52.413273001508294,32,631,0,2,134
395266,50.301659125188536,4,659,0,2,9
137220,50.075414781297134,2,660,1,2,2
12297,52.33785822021116,32,630,1,2,178
393225,50.678733031674206,10,652,1,2,18
12305,50.452488687782804,6,657,0,2,11
38930,50.37707390648567,5,658,0,2,27
18450,51.50829562594269,20,643,0,2,49
28690,50.301659125188536,5,657,1,2,6
32787,56.25942684766214,84,578,1,2,983
36884,50.452488687782804,6,657,0,2,15
61461,52.11161387631976,28,635,0,2,100
6169,50.452488687782804,6,657,0,2,11
327708,50.75414781297134,10,653,0,2,53
8220,65.98793363499246,213,449,1,2,1862
4134,54.90196078431372,65,598,0,2,319
55334,50.15082956259427,3,659,1,2,3
28716,59.20060331825038,123,539,1,2,876
139309,50.0,1,661,1,2,1
12334,50.15082956259427,2,661,0,2,7
213039,50.829562594268474,12,650,1,2,26
45102,54.22322775263952,56,607,0,2,216
12338,50.52790346907994,7,656,0,2,23
55348,50.075414781297134,2,660,1,2,3
55355,50.452488687782804,7,655,1,2,17
6204,52.33785822021116,31,632,0,2,195
262206,51.13122171945702,15,648,0,2,50
47169,50.52790346907994,8,654,1,2,37
327746,50.0,1,661,1,2,2
2119,59.125188536953246,122,540,1,2,637
8265,50.98039215686274,13,650,0,2,45
6220,51.05580693815988,14,649,0,2,20
28753,50.37707390648567,5,658,0,2,7
22612,50.301659125188536,4,659,0,2,14
22616,51.885369532428356,26,636,1,2,65
45147,50.52790346907994,7,656,0,2,48
8283,53.09200603318251,42,620,1,2,223
63583,50.0,1,661,1,2,3
8297,50.0,1,661,1,2,1
18541,50.2262443438914,4,658,1,2,5
51310,51.80995475113122,24,639,0,2,116
12400,53.996983408748115,53,610,0,2,304
202865,50.075414781297134,1,662,0,2,2
327795,50.075414781297134,2,660,1,2,5
28788,52.036199095022624,28,634,1,2,140
43123,50.0,1,661,1,2,1
10361,51.43288084464555,20,642,1,2,21
30844,56.25942684766214,83,580,0,2,566
16509,55.88235294117647,78,585,0,2,362
393342,50.075414781297134,2,660,1,2,2
18563,50.075414781297134,2,660,1,2,5
45187,50.98039215686274,13,650,0,2,26
393349,50.075414781297134,2,660,1,2,2
4230,55.5052790346908,73,590,0,2,604
61573,51.96078431372549,27,635,1,2,619
10376,50.301659125188536,5,657,1,2,5
131219,51.282051282051285,18,644,1,2,45
16532,50.52790346907994,8,654,1,2,12
24724,55.052790346908,68,594,1,2,727
4243,50.37707390648567,6,656,1,2,7
8346,50.301659125188536,4,659,0,2,18
10396,50.301659125188536,4,659,0,2,28
141469,50.075414781297134,2,660,1,2,3
61599,52.18702865761689,29,634,0,2,143
161,50.075414781297134,2,660,1,2,3
34977,50.60331825037707,8,655,0,2,29
6307,50.60331825037707,9,653,1,2,12
196773,50.075414781297134,1,662,0,2,2
16550,50.0,1,661,1,2,3
20645,50.829562594268474,11,652,0,2,14
34984,51.282051282051285,18,644,1,2,319
22697,53.619909502262445,48,615,0,2,234
32934,55.957767722473605,79,584,0,2,400
51375,51.885369532428356,26,636,1,2,104
61614,50.452488687782804,7,655,1,2,53
133299,50.301659125188536,5,657,1,2,6
14516,50.075414781297134,2,660,1,2,2
202932,52.18702865761689,30,632,1,2,135
20661,50.075414781297134,2,660,1,2,8
6327,53.31825037707391,44,619,0,2,307
135354,51.659125188536954,23,639,1,2,41
24768,50.98039215686274,13,650,0,2,38
14537,53.46907993966818,46,617,0,2,273
397513,50.075414781297134,2,660,1,2,3
12491,52.18702865761689,29,634,0,2,166
35019,50.15082956259427,3,659,1,2,5
397514,50.075414781297134,2,660,1,2,3
397515,50.075414781297134,2,660,1,2,3
51407,50.52790346907994,7,656,0,2,20
16591,50.678733031674206,10,652,1,2,21
397516,50.075414781297134,2,660,1,2,3
397517,50.0,1,661,1,2,2
397518,50.0,1,661,1,2,1
397519,50.075414781297134,2,660,1,2,3
397520,50.075414781297134,2,660,1,2,3
213205,51.05580693815988,15,647,1,2,29
397521,50.075414781297134,2,660,1,2,3
397522,50.15082956259427,3,659,1,2,4
205016,50.301659125188536,4,659,0,2,5
10457,50.2262443438914,4,658,1,2,5
49362,51.35746606334842,18,645,0,2,49
59605,67.79788838612367,237,425,1,2,1643
37084,50.2262443438914,3,660,0,2,37
135391,53.54449472096531,48,614,1,2,185
55520,50.075414781297134,2,660,1,2,3
8426,58.3710407239819,112,550,1,2,528
37100,65.08295625942685,200,463,0,2,1997
28910,53.39366515837104,45,618,0,2,589
135409,50.301659125188536,5,657,1,2,24
131314,52.56410256410256,35,627,1,2,149
55543,50.075414781297134,2,660,1,2,2
