hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
19969,4.425837320574162,11,15,392,1,26
25091,29.30622009569378,73,99,246,1,2974
22534,1.7942583732057416,4,7,407,1,9
35847,10.645933014354068,2,85,331,1,30
16904,7.535885167464115,26,11,381,1,35
53766,14.473684210526315,4,113,301,1,189
55818,14.23444976076555,3,113,302,1,263
13830,15.909090909090908,2,129,287,1,118
397326,2.8708133971291865,2,20,396,1,20
394256,12.799043062200957,2,103,313,1,317
13331,3.110047846889952,3,20,395,1,26
54804,10.287081339712918,2,82,334,1,11
36374,4.186602870813397,6,23,389,1,26
13335,16.626794258373206,4,131,283,1,1303
393238,3.349282296650718,7,14,397,1,23
399899,1.7942583732057416,2,11,405,1,6
11805,2.0334928229665072,2,13,403,1,7
134176,3.349282296650718,2,24,392,1,34
14371,4.6650717703349285,7,25,386,1,27
25637,1.7942583732057416,4,7,407,1,7
5670,10.167464114832535,2,81,335,1,15
55850,12.91866028708134,4,100,314,1,726
42,15.789473684210526,4,124,290,1,406
13359,10.526315789473685,2,84,332,1,30
393775,1.9138755980861244,4,8,406,1,9
399924,1.9138755980861244,2,12,404,1,12
4150,3.9473684210526314,4,25,389,1,25
3128,2.272727272727273,5,9,404,1,16
31800,6.698564593301436,3,50,365,1,82
57,4.784688995215311,13,14,391,1,32
14907,23.205741626794257,4,186,228,1,1657
62,10.76555023923445,4,82,332,1,123
31807,1.7942583732057416,2,11,405,1,6
19523,2.8708133971291865,2,20,396,1,26
53828,12.91866028708134,3,102,313,1,91
47689,11.363636363636363,2,91,325,1,53
16970,1.555023923444976,3,7,408,1,9
62538,2.0334928229665072,2,13,403,1,8
7753,1.555023923444976,2,9,407,1,7
200781,13.397129186602871,2,108,308,1,158
30286,10.4066985645933,2,83,333,1,17
3663,2.3923444976076556,2,16,400,1,24
7247,2.0334928229665072,2,13,403,1,9
398419,1.9138755980861244,2,12,404,1,7
9304,18.89952153110048,4,150,264,1,1220
19455,0.4784688995215311,2,0,416,1,2
54364,1.7942583732057416,2,11,405,1,6
25694,2.3923444976076556,3,14,401,1,10
19551,15.07177033492823,3,120,295,1,503
32864,1.7942583732057416,2,11,405,1,6
52320,19.37799043062201,4,154,260,1,1976
18530,3.588516746411483,3,24,391,1,31
33891,18.301435406698566,4,145,269,1,1878
23138,2.8708133971291865,2,20,396,1,21
101,3.4688995215311005,2,25,391,1,52
13925,2.15311004784689,3,12,403,1,9
26725,1.9138755980861244,3,10,405,1,11
32872,1.7942583732057416,2,11,405,1,6
46692,1.1961722488038278,2,6,410,1,4
29802,15.07177033492823,3,120,295,1,272
33387,1.674641148325359,6,2,410,1,18
53356,12.08133971291866,3,95,320,1,101
60011,2.8708133971291865,2,20,396,1,22
398446,10.167464114832535,2,81,335,1,12
397423,10.885167464114833,3,85,330,1,35
398447,2.0334928229665072,2,13,403,1,14
8298,27.870813397129186,6,221,191,1,2135
34927,28.11004784688995,5,225,188,1,2660
42615,2.751196172248804,2,19,397,1,16
57976,14.712918660287082,4,115,299,1,313
25720,1.9138755980861244,3,10,405,1,9
22652,17.105263157894736,3,137,278,1,489
16509,15.55023923444976,4,122,292,1,363
10879,1.7942583732057416,2,11,405,1,16
11904,1.7942583732057416,3,9,406,1,11
139909,1.7942583732057416,2,11,405,1,7
4230,14.832535885167465,3,118,297,1,605
38022,3.110047846889952,3,20,395,1,58
29838,16.38755980861244,2,133,283,1,319
54415,2.511961722488038,2,17,399,1,18
399504,1.3157894736842106,2,7,409,1,7
58511,4.425837320574162,3,31,384,1,99
6300,10.645933014354068,3,83,332,1,30
398493,1.7942583732057416,2,11,405,1,6
138398,2.511961722488038,2,17,399,1,19
33438,14.712918660287082,3,117,298,1,276
4258,12.799043062200957,2,103,313,1,57
397990,1.7942583732057416,2,11,405,1,6
16552,14.5933014354067,3,116,299,1,249
19625,1.7942583732057416,2,11,405,1,8
47272,12.08133971291866,2,97,319,1,122
400555,1.9138755980861244,2,12,404,1,7
19116,3.110047846889952,2,22,394,1,20
23033,4.0669856459330145,3,28,387,1,59
174,24.282296650717704,5,193,220,1,6778
47787,19.976076555023923,3,161,254,1,3834
393398,10.526315789473685,2,84,332,1,19
18615,10.4066985645933,3,81,334,1,13
32440,10.4066985645933,3,81,334,1,34
40630,11.961722488038278,2,96,320,1,33
18106,25.95693779904306,4,209,205,1,2140
32444,3.349282296650718,3,22,393,1,22
35008,2.0334928229665072,2,13,403,1,10
137409,19.37799043062201,4,154,260,1,912
396480,1.7942583732057416,2,11,405,1,7
10947,2.6315789473684212,2,18,398,1,19
399045,1.9138755980861244,2,12,404,1,9
396998,18.301435406698566,4,145,269,1,1163
14536,1.7942583732057416,2,11,405,1,7
58057,27.51196172248804,5,220,193,1,1930
395466,2.511961722488038,3,15,400,1,16
40138,3.708133971291866,2,27,389,1,23
714,14.712918660287082,3,117,298,1,313
208590,1.7942583732057416,2,11,405,1,7
16591,2.6315789473684212,2,18,398,1,22
11472,1.7942583732057416,2,11,405,1,7
394449,3.229665071770335,2,23,393,1,20
1239,18.0622009569378,5,141,272,1,1635
396507,2.272727272727273,2,15,401,1,15
23260,1.4354066985645932,2,8,408,1,5
10973,2.511961722488038,2,17,399,1,17
393950,3.4688995215311005,3,23,392,1,25
398044,10.4066985645933,3,81,334,1,17
40160,2.15311004784689,4,10,404,1,17
399580,9.330143540669857,4,70,344,1,214
64227,4.0669856459330145,3,28,387,1,30
11492,3.708133971291866,2,27,389,1,51
53988,1.9138755980861244,2,12,404,1,7
6373,2.0334928229665072,2,13,403,1,7
