hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
36864,11.785714285714286,104,23,853,1,127
57344,20.459183673469386,176,49,755,1,371
28683,5.76530612244898,10,93,877,1,14
32787,53.41836734693877,495,57,428,1,984
213018,5.76530612244898,8,97,875,1,10
36891,6.173469387755102,12,97,871,1,21
327708,7.959183673469388,23,110,847,1,54
8220,38.775510204081634,55,650,275,1,1863
28708,0.6632653061224489,2,9,969,1,3
4134,10.86734693877551,29,155,796,1,320
59432,6.683673469387755,15,101,864,1,40
10282,9.744897959183673,65,61,854,1,123
45102,11.785714285714286,77,77,826,1,217
139323,0.7142857142857143,2,10,968,1,4
6204,11.887755102040817,91,51,838,1,196
36925,6.479591836734694,11,105,864,1,17
30781,40.40816326530612,85,622,273,1,1198
196670,25.56122448979592,2,497,481,1,5
198722,2.5,2,45,933,1,3
202818,5.714285714285714,2,108,870,1,10
36939,0.20408163265306123,2,0,978,1,2
206924,8.673469387755102,49,72,859,1,101
139341,13.214285714285714,99,61,820,1,283
20562,41.275510204081634,102,605,273,1,1355
36947,6.224489795918367,9,104,867,1,25
20565,8.571428571428571,49,70,861,1,67
12389,10.255102040816327,24,153,803,1,1321
327782,6.683673469387755,5,121,854,1,93
8304,11.887755102040817,100,33,847,1,187
8309,16.479591836734695,98,127,755,1,814
57463,12.040816326530612,88,60,832,1,263
49274,0.25510204081632654,2,1,977,1,3
30844,14.846938775510203,99,93,788,1,567
16509,15.306122448979592,88,124,768,1,363
4229,12.040816326530612,80,76,824,1,220
196745,2.3979591836734695,2,43,935,1,4
2200,8.673469387755102,44,82,854,1,115
8346,6.224489795918367,2,118,860,1,19
6306,5.459183673469388,8,91,881,1,10
32934,16.1734693877551,99,119,762,1,401
12455,5.714285714285714,4,104,872,1,12
8362,0.6632653061224489,2,9,969,1,3
37037,4.285714285714286,2,80,898,1,5
174,26.836734693877553,52,422,506,1,6778
37054,9.89795918367347,59,76,845,1,124
12479,6.326530612244898,13,98,869,1,115
43205,9.642857142857142,56,77,847,1,114
24785,7.448979591836735,26,94,860,1,229
327903,5.051020408163265,3,93,884,1,18
37090,2.806122448979592,2,51,927,1,4
37094,4.591836734693878,2,86,892,1,4
2280,6.683673469387755,21,89,870,1,31
2281,0.8673469387755102,2,13,965,1,3
10474,8.979591836734693,45,86,849,1,113
8426,39.13265306122449,101,565,314,1,529
2285,0.20408163265306123,2,0,978,1,2
2287,0.20408163265306123,2,0,978,1,2
16637,12.551020408163266,89,68,823,1,203
8452,11.938775510204081,89,56,835,1,216
30985,1.530612244897959,2,26,952,1,7
209163,2.806122448979592,2,51,927,1,3
39180,12.244897959183673,103,34,843,1,182
30990,6.020408163265306,4,110,866,1,23
47377,5.816326530612245,3,108,869,1,18
22808,5.1020408163265305,2,96,882,1,8
20765,0.45918367346938777,2,5,973,1,3
286,19.23469387755102,18,341,621,1,1605
209181,10.66326530612245,80,49,851,1,122
12576,9.03061224489796,49,79,852,1,100
24863,4.8979591836734695,2,92,886,1,22
22822,14.23469387755102,84,111,785,1,264
14630,41.42857142857143,94,624,262,1,1487
24875,11.275510204081632,88,45,847,1,195
201004,1.2755102040816326,2,21,957,1,3
6453,36.93877551020408,16,692,272,1,663
6461,37.704081632653065,54,631,295,1,2626
8528,1.836734693877551,2,32,946,1,3
37204,6.479591836734694,9,109,862,1,35
8554,8.316326530612244,42,79,859,1,62
6507,14.13265306122449,90,97,793,1,274
37233,0.30612244897959184,3,0,977,1,3
39286,2.806122448979592,2,51,927,1,3
45430,9.89795918367347,46,102,832,1,148
29049,41.88775510204081,96,629,255,1,2848
31117,6.63265306122449,17,96,867,1,64
29075,43.16326530612245,103,640,237,1,1924
209304,2.0918367346938775,2,37,941,1,3
20917,5.663265306122449,4,103,873,1,9
29110,2.806122448979592,2,51,927,1,3
37309,4.23469387755102,2,79,899,1,5
328126,7.908163265306122,25,105,850,1,73
31167,6.581632653061225,22,85,873,1,48
29119,12.040816326530612,90,56,834,1,364
2497,28.724489795918366,10,543,427,1,335
197068,5.918367346938775,4,108,868,1,80
20940,34.59183673469388,103,472,405,1,529
39386,33.11224489795919,104,441,435,1,281
59877,6.836734693877551,21,92,867,1,37
45543,6.377551020408164,9,107,864,1,30
63981,6.071428571428571,5,109,866,1,18
57839,0.20408163265306123,2,0,978,1,2
31216,7.959183673469388,34,88,858,1,82
37363,8.520408163265307,44,79,857,1,91
8697,5.816326530612245,4,106,870,1,17
49666,6.428571428571429,7,112,861,1,45
25091,43.724489795918366,102,653,225,1,2974
6661,10.96938775510204,87,41,852,1,185
12807,4.8979591836734695,3,90,887,1,3
6663,12.091836734693878,91,55,834,1,332
57866,7.1938775510204085,17,107,856,1,157
12811,0.20408163265306123,2,0,978,1,2
49677,5.76530612244898,6,101,873,1,11
8723,7.959183673469388,40,76,864,1,55
25113,0.20408163265306123,2,0,978,1,2
4637,34.54081632653061,84,509,387,1,664
6696,29.897959183673468,22,542,416,1,281
4651,12.295918367346939,88,65,827,1,262
