hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
7682,11.377245508982035,17,4,146,1,21
37891,4.191616766467066,2,10,155,1,4
37900,6.586826347305389,2,18,147,1,7
17937,3.592814371257485,2,8,157,1,3
17940,6.88622754491018,3,17,147,1,8
17941,8.083832335329342,5,17,145,1,13
132095,2.9940119760479043,2,6,159,1,3
37922,8.682634730538922,12,5,150,1,15
23613,1.1976047904191616,2,0,165,1,2
23614,5.9880239520958085,3,14,150,1,5
25152,18.862275449101798,12,39,116,1,393
4672,2.694610778443114,2,5,160,1,3
4673,7.18562874251497,2,20,145,1,10
23619,4.191616766467066,2,10,155,1,3
23624,8.682634730538922,10,9,148,1,14
4680,9.880239520958083,13,7,147,1,21
139341,11.976047904191617,16,8,143,1,283
40526,7.18562874251497,4,16,147,1,12
55378,2.694610778443114,2,5,160,1,3
133203,4.790419161676646,2,12,153,1,5
17504,2.9940119760479043,2,6,159,1,3
17514,9.580838323353293,12,8,147,1,18
45680,5.089820359281437,2,13,152,1,4
17523,5.089820359281437,2,13,152,1,3
4723,6.88622754491018,3,17,147,1,6
49274,2.395209580838323,2,4,161,1,3
16509,19.461077844311376,27,11,129,1,363
17534,10.778443113772456,13,10,144,1,29
2687,12.275449101796408,16,9,142,1,124
9354,12.574850299401197,16,10,141,1,116
55949,1.1976047904191616,2,0,165,1,2
9357,6.586826347305389,2,18,147,1,6
54415,8.383233532934131,11,6,150,1,18
18069,5.389221556886228,2,14,151,1,3
18072,1.1976047904191616,2,0,165,1,2
9374,10.778443113772456,15,6,146,1,21
4777,12.874251497005988,13,17,137,1,57
18092,7.485029940119761,6,13,148,1,9
17088,8.083832335329342,8,11,148,1,81
24262,8.682634730538922,11,7,149,1,13
18125,7.485029940119761,9,7,151,1,14
18126,11.377245508982035,15,8,144,1,27
18131,7.485029940119761,8,9,150,1,11
23763,6.88622754491018,4,15,148,1,8
24282,6.88622754491018,7,9,151,1,9
24283,5.089820359281437,2,13,152,1,3
18142,3.592814371257485,2,8,157,1,3
23777,7.18562874251497,7,10,150,1,10
23779,7.485029940119761,8,9,150,1,10
38627,2.9940119760479043,2,6,159,1,3
38629,1.1976047904191616,2,0,165,1,2
18150,9.580838323353293,13,6,148,1,22
59109,2.694610778443114,2,5,160,1,3
23785,5.389221556886228,2,14,151,1,3
38639,7.7844311377245505,8,10,149,1,12
59121,1.1976047904191616,2,0,165,1,3
38643,2.9940119760479043,2,6,159,1,3
59124,5.9880239520958085,2,16,149,1,5
23798,5.688622754491018,2,15,150,1,3
38648,2.9940119760479043,2,6,159,1,3
38652,3.592814371257485,2,8,157,1,3
23804,1.1976047904191616,2,0,165,1,2
4862,11.676646706586826,15,9,143,1,51
23808,7.485029940119761,8,9,150,1,12
54535,6.287425149700598,2,17,148,1,14
23816,10.778443113772456,14,8,145,1,24
9993,11.077844311377245,16,5,146,1,27
17676,20.95808383233533,9,52,106,1,298
23820,10.179640718562874,13,8,146,1,21
24336,5.389221556886228,2,14,151,1,3
10003,7.485029940119761,6,13,148,1,12
17685,9.880239520958083,13,7,147,1,22
17686,11.077844311377245,15,7,145,1,38
23829,7.7844311377245505,8,10,149,1,12
17689,2.694610778443114,2,5,160,1,3
17691,4.790419161676646,2,12,153,1,4
63772,8.083832335329342,9,9,149,1,12
10013,7.18562874251497,3,18,146,1,10
17694,2.9940119760479043,2,6,159,1,3
