hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
51200,1.9981412639405205,5,33,1038,1,38
8192,1.161710037174721,4,17,1055,1,19
20485,36.43122676579926,261,262,553,1,1559
12297,9.293680297397769,25,150,901,1,179
57354,1.812267657992565,2,35,1039,1,20
24589,3.671003717472119,20,39,1017,1,54
43022,0.9758364312267658,4,13,1059,1,20
20495,17.611524163568774,4,371,701,1,515
24593,0.929368029739777,2,16,1058,1,17
12306,17.983271375464685,2,383,691,1,162
47122,2.091078066914498,2,41,1033,1,27
57363,14.219330855018587,3,300,773,1,53
57367,0.2788104089219331,2,2,1072,1,5
40983,0.6505576208178439,3,8,1065,1,8
8218,23.234200743494423,3,494,579,1,1685
34844,1.0687732342007434,3,17,1056,1,17
8220,10.315985130111525,2,218,856,1,1863
38946,0.8364312267657993,3,12,1061,1,17
47140,0.929368029739777,3,14,1059,1,14
47147,24.024163568773233,3,511,562,1,1353
28716,22.118959107806692,3,470,603,1,877
213039,2.137546468401487,2,42,1032,1,27
12337,17.843866171003718,2,380,694,1,163
196657,1.9981412639405205,4,35,1037,1,19
34867,17.146840148698885,2,365,709,1,126
41009,2.091078066914498,6,33,1037,1,27
8242,2.462825278810409,3,47,1026,1,33
34872,21.979553903345725,4,465,607,1,1063
208954,1.161710037174721,3,19,1054,1,19
20539,1.0687732342007434,4,15,1057,1,18
30781,22.630111524163567,3,481,592,1,1198
24638,13.661710037174721,3,288,785,1,35
34879,14.684014869888475,3,310,763,1,49
198720,0.5111524163568774,2,7,1067,1,7
57406,23.280669144981413,3,495,578,1,1419
49218,13.28996282527881,3,280,793,1,23
2119,18.866171003717472,2,402,672,1,638
20555,0.8364312267657993,2,14,1060,1,12
200780,22.723048327137548,3,483,590,1,1044
208972,1.4405204460966543,2,27,1047,1,37
206926,1.9052044609665428,2,37,1037,1,16
41039,4.275092936802974,33,26,1017,1,60
51279,0.8364312267657993,3,12,1061,1,13
20562,22.723048327137548,4,481,591,1,1355
196695,3.671003717472119,3,73,1000,1,87
41047,30.576208178438662,4,650,422,1,2952
28761,5.25092936802974,5,103,968,1,106
59482,3.2063197026022303,3,63,1010,1,20
8283,18.029739776951672,3,382,691,1,224
47196,3.2063197026022303,2,65,1009,1,21
6233,23.88475836431227,4,506,566,1,1743
43103,0.5576208178438662,2,8,1066,1,11
43106,1.4405204460966543,5,21,1050,1,23
12389,19.516728624535315,4,412,660,1,1321
59497,1.7657992565055762,5,28,1043,1,16
8298,23.83828996282528,4,505,567,1,2135
47211,4.0427509293680295,5,77,994,1,36
47213,0.9758364312267658,2,17,1057,1,16
34927,24.62825278810409,4,522,550,1,2660
112,4.879182156133829,4,97,975,1,177
12400,19.191449814126393,2,409,665,1,305
51314,1.579925650557621,3,28,1045,1,15
12403,1.0223048327137547,2,18,1056,1,18
57456,1.254646840148699,5,17,1054,1,19
8309,21.096654275092938,2,450,624,1,814
59514,6.45910780669145,2,135,939,1,252
41082,1.4405204460966543,4,23,1049,1,26
30844,19.656133828996282,2,419,655,1,567
43133,1.6728624535315986,3,30,1043,1,18
16509,18.912639405204462,4,399,673,1,363
198782,0.23234200743494424,2,1,1073,1,4
61568,25.8364312267658,4,548,524,1,1699
12418,14.079925650557621,3,297,776,1,62
196739,3.4386617100371746,4,66,1006,1,25
43139,1.858736059479554,2,36,1038,1,39
47236,13.801115241635689,5,287,784,1,36
39046,2.2304832713754648,4,40,1032,1,29
41095,15.845724907063197,4,333,739,1,1254
41096,0.6505576208178439,2,10,1064,1,8
51341,1.6728624535315986,4,28,1044,1,30
24723,17.797397769516728,2,379,695,1,134
8342,2.7881040892193307,3,54,1019,1,36
51357,1.486988847583643,3,26,1047,1,14
213151,22.397769516728623,4,474,598,1,1067
30886,0.6970260223048327,3,9,1064,1,15
32934,19.609665427509295,3,416,657,1,401
8359,22.351301115241636,30,421,625,1,848
39087,4.507434944237918,3,91,982,1,40
49327,0.4646840148698885,2,6,1068,1,5
8369,14.033457249070633,4,294,778,1,51
47283,1.161710037174721,3,19,1054,1,18
51380,1.7193308550185873,2,33,1041,1,22
59574,1.6728624535315986,5,26,1045,1,32
35000,5.9944237918215615,3,123,950,1,170
59577,1.254646840148699,3,21,1052,1,10
35004,0.929368029739777,3,14,1059,1,18
49340,2.184014869888476,2,43,1031,1,21
39102,1.1152416356877324,2,20,1054,1,19
200899,2.2304832713754648,2,44,1030,1,37
41165,1.6728624535315986,3,30,1043,1,19
49359,0.7434944237918215,3,10,1063,1,11
207056,2.0446096654275094,3,38,1035,1,30
209106,0.41821561338289964,2,5,1069,1,5
213205,2.137546468401487,2,42,1032,1,30
59605,24.070631970260223,3,512,561,1,1644
35032,13.568773234200744,3,286,787,1,34
264409,18.726765799256505,2,399,675,1,269
39130,0.7434944237918215,3,10,1063,1,11
47321,4.0427509293680295,5,77,994,1,33
49368,2.0446096654275094,4,36,1036,1,34
59613,1.0223048327137547,3,16,1057,1,19
49377,1.20817843866171,2,22,1052,1,17
8422,18.447955390334574,3,391,682,1,207
202984,3.5315985130111525,3,70,1003,1,77
35048,2.2769516728624537,5,39,1032,1,44
20714,0.5576208178438662,2,8,1066,1,7
28907,1.7193308550185873,2,33,1041,1,23
37100,24.302973977695167,3,517,556,1,1998
207085,0.604089219330855,2,9,1065,1,9
24812,1.161710037174721,3,19,1054,1,21
51437,3.671003717472119,2,75,999,1,34
28910,24.024163568773233,5,507,564,1,590
43253,0.5576208178438662,2,8,1066,1,6
28917,30.855018587360593,8,648,420,1,2007
196858,0.4646840148698885,2,6,1068,1,7
8447,24.21003717472119,3,515,558,1,1360
196863,0.604089219330855,2,9,1065,1,10
8449,1.3940520446096654,2,26,1048,1,56
47363,4.4609665427509295,5,86,985,1,33
8455,10.037174721189592,2,212,862,1,558
12552,20.678438661710036,3,439,634,1,963
198921,0.6505576208178439,2,10,1064,1,10
207114,1.1152416356877324,2,20,1054,1,7
12555,13.70817843866171,3,289,784,1,47
49420,5.111524163568773,2,106,968,1,914
57613,0.6505576208178439,2,10,1064,1,11
43278,1.3011152416356877,2,24,1050,1,26
200976,14.079925650557621,5,293,778,1,41
39184,1.9516728624535316,2,38,1036,1,25
51477,3.113382899628253,2,63,1011,1,19
20764,28.62453531598513,7,602,467,1,2019
51484,1.254646840148699,2,23,1051,1,30
57629,14.172862453531598,4,297,775,1,48
35104,4.693308550185874,2,97,977,1,74
14630,23.88475836431227,3,508,565,1,1487
28968,4.553903345724907,7,84,985,1,65
196906,0.8364312267657993,4,10,1062,1,10
51500,2.0446096654275094,2,40,1034,1,36
43309,0.8828996282527881,3,13,1060,1,17
49453,9.061338289962825,3,189,884,1,156
