hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
3257,50.014200511218405,1,3520,0,0,2702
57344,9.031525134904857,265,106,3150,1,371
393220,2.5702925305310993,3,175,3343,1,8
65540,0.17040613462084636,6,0,3515,1,8
204807,0.9798352740698665,2,65,3454,1,4
393226,1.4768531667140017,2,100,3419,1,13
12,1.2638454984379437,4,81,3436,1,9
327693,3.2661175802328883,13,204,3304,1,48
393234,0.07100255609201932,2,1,3518,1,3
32787,17.395626242544733,490,245,2786,1,984
16406,3.0531099119568306,4,207,3310,1,25
393241,1.363249076966771,2,92,3427,1,6
8220,16.117580232888383,45,1045,2431,1,1863
40988,1.235444476001136,2,83,3436,1,5
32798,2.7548991763703494,4,186,3331,1,12
327708,3.209315535359273,17,192,3312,1,54
393246,0.07100255609201932,2,1,3518,1,3
327716,2.541891508094291,2,175,3344,1,22
139301,2.7548991763703494,2,190,3329,1,11
32806,2.7690996875887532,2,191,3328,1,9
42,6.929849474581085,137,214,3170,1,406
213035,3.521726782164158,34,180,3307,1,59
327733,2.797500710025561,2,193,3326,1,22
8247,0.7952286282306164,2,52,3467,1,4
57,2.8827037773359843,12,179,3330,1,32
24637,4.586765123544447,74,175,3272,1,150
196670,7.043453564328316,2,492,3027,1,5
262206,3.4649247372905423,13,218,3290,1,51
49216,1.6756603237716559,2,114,3405,1,4
62,4.018744674808293,44,195,3282,1,123
49220,0.9798352740698665,2,65,3454,1,5
8262,6.532235160465777,117,226,3178,1,262
327751,2.584493041749503,3,176,3342,1,24
327754,2.8259017324623685,2,195,3324,1,25
139341,6.106219823913661,103,224,3194,1,283
41041,4.231752343084351,56,186,3279,1,113
49233,3.8057370065322353,2,264,3255,1,3
393303,0.9656347628514627,2,64,3455,1,6
204890,1.5620562340244248,2,106,3413,1,7
97,0.9940357852882704,2,66,3453,1,5
393316,2.6980971314967337,2,186,3333,1,9
213094,3.834138028969043,37,196,3288,1,86
327782,3.422323203635331,6,229,3286,1,93
213101,0.7384265833570008,2,48,3471,1,4
8301,4.075546719681909,44,199,3278,1,101
327791,2.6128940641863108,3,178,3340,1,21
8304,5.239988639591025,104,161,3256,1,187
41073,2.854302754899176,4,193,3324,1,16
327794,2.485089463220676,2,171,3348,1,17
24691,4.11814825333712,44,202,3275,1,113
8308,5.3109911956830445,109,156,3256,1,205
131189,0.1846066458392502,2,9,3510,1,5
32886,0.7384265833570008,2,48,3471,1,4
16504,2.1442771939789833,10,131,3380,1,24
327804,8.67651235444476,3,605,2913,1,507
16509,6.830445896052258,89,303,3129,1,363
8318,0.7952286282306164,2,52,3467,1,4
327808,2.6412950866231184,2,182,3337,1,17
32899,2.854302754899176,6,189,3326,1,19
8323,2.797500710025561,12,173,3336,1,26
327812,2.7690996875887532,2,191,3328,1,19
57478,2.1868787276341948,2,150,3369,1,5
327813,3.422323203635331,29,183,3309,1,62
8328,0.08520306731042318,2,2,3517,1,4
327814,4.359556944049986,51,205,3265,1,133
213130,0.8946322067594433,2,59,3460,1,4
327817,2.726498153933542,2,188,3331,1,18
16524,3.1951150241408692,5,215,3301,1,24
41095,12.212439647827322,30,800,2691,1,1254
327822,2.541891508094291,2,175,3344,1,21
262287,3.1525134904856573,6,210,3305,1,71
49296,2.797500710025561,13,171,3337,1,21
327824,2.7548991763703494,2,190,3329,1,20
196755,2.101675660323772,2,144,3375,1,11
131219,3.1383129792672535,5,211,3305,1,46
24730,4.174950298210735,59,176,3286,1,119
204959,0.07100255609201932,2,1,3518,1,3
32934,7.483669412098836,136,255,3130,1,401
16552,5.737006532235161,104,196,3221,1,249
327849,2.598693552967907,2,179,3340,1,27
8360,8.534507242260721,2,597,2922,1,46
174,21.40017040613462,59,1389,2073,1,6778
24750,2.8827037773359843,3,197,3321,1,9
41135,2.854302754899176,2,197,3322,1,14
24753,3.3797216699801194,30,178,3313,1,53
8368,5.18318659471741,106,153,3262,1,208
327872,2.8117012212439647,2,194,3325,1,23
131267,3.0673104231752344,2,212,3307,1,36
131270,2.8259017324623685,3,193,3325,1,16
24776,3.3797216699801194,26,186,3309,1,57
41160,2.982107355864811,14,182,3325,1,40
131274,3.1525134904856573,2,218,3301,1,37
57546,0.07100255609201932,2,1,3518,1,3
8399,4.7713717693836974,91,154,3276,1,152
49362,3.6637318943481967,16,226,3279,1,50
327892,2.7548991763703494,2,190,3329,1,18
213205,3.0673104231752344,14,188,3319,1,30
327893,2.541891508094291,2,175,3344,1,22
327894,2.8259017324623685,2,195,3324,1,19
327896,2.5560920193126955,2,176,3343,1,23
32987,2.6128940641863108,2,180,3339,1,4
327901,2.854302754899176,3,195,3323,1,28
327907,2.783300198807157,2,192,3327,1,21
327908,2.7690996875887532,2,191,3328,1,19
327909,2.896904288554388,3,198,3320,1,29
8426,13.405282590173247,103,738,2680,1,529
205039,1.1928429423459244,3,78,3440,1,5
33007,0.8946322067594433,2,59,3460,1,4
24817,0.24140869071286566,2,13,3506,1,5
131314,4.615166145981255,69,187,3265,1,150
327922,2.485089463220676,2,171,3348,1,16
327923,2.5560920193126955,2,176,3343,1,22
33016,0.6816245384833854,2,44,3475,1,4
16633,0.8946322067594433,2,59,3460,1,5
16637,5.168986083499006,71,222,3228,1,203
327935,2.669696109059926,3,182,3336,1,25
327936,2.8117012212439647,2,194,3325,1,25
131330,3.095711445612042,2,214,3305,1,33
260,2.5276909968758874,2,174,3345,1,23
8452,4.842374325475717,69,203,3249,1,216
8453,3.0531099119568306,21,173,3327,1,51
16647,0.8946322067594433,2,59,3460,1,4
57607,1.3064470320931554,2,88,3431,1,3
327943,2.9253053109911957,3,200,3318,1,24
16650,0.09940357852882704,2,3,3516,1,3
327950,2.8401022436807724,2,196,3323,1,25
33040,0.07100255609201932,2,1,3518,1,3
49425,3.9761431411530817,43,194,3284,1,98
327960,8.761715421755182,2,613,2906,1,469
327961,2.5134904856574836,2,173,3346,1,18
49434,11.488213575688725,27,755,2739,1,405
327962,2.4992899744390797,2,172,3347,1,18
16668,2.5702925305310993,2,177,3342,1,8
8476,1.3206475433115592,2,89,3430,1,5
286,29.352456688440785,2,2063,1456,1,1605
327966,2.8117012212439647,2,194,3325,1,23
288,1.4910536779324055,2,101,3418,1,5
33058,1.136040897472309,2,76,3443,1,7
213287,0.07100255609201932,2,1,3518,1,3
8487,4.544163589889236,72,176,3273,1,148
327979,2.797500710025561,2,193,3326,1,20
33071,2.6412950866231184,2,182,3337,1,11
327983,8.662311843226355,3,604,2914,1,526
41265,0.07100255609201932,2,1,3518,1,3
327984,2.5134904856574836,2,173,3346,1,18
327987,2.7548991763703494,2,190,3329,1,20
327988,2.5702925305310993,2,177,3342,1,22
327991,2.854302754899176,2,197,3322,1,26
327996,2.7548991763703494,2,190,3329,1,20
393544,1.2780460096563477,2,86,3433,1,5
41291,2.6412950866231184,2,182,3337,1,7
8523,2.24368077250781,2,154,3365,1,7
8529,5.864811133200795,116,181,3224,1,245
205142,0.7952286282306164,2,52,3467,1,4
328024,2.7406986651519456,2,189,3330,1,17
196956,1.5620562340244248,3,104,3414,1,3
16733,1.235444476001136,2,83,3436,1,5
328029,2.8259017324623685,2,195,3324,1,25
328037,2.541891508094291,2,175,3344,1,20
328038,2.4992899744390797,2,172,3347,1,19
41319,2.5702925305310993,2,177,3342,1,7
8551,5.737006532235161,105,194,3222,1,345
328039,2.783300198807157,3,190,3328,1,20
8554,3.4507242260721385,28,187,3306,1,62
49515,1.448452144277194,2,98,3421,1,5
24940,5.722806021016757,120,163,3238,1,260
139628,3.109911956830446,3,213,3305,1,42
328041,2.8401022436807724,2,196,3323,1,21
41327,18.929281454132347,114,1105,2302,1,2648
16751,1.4910536779324055,2,101,3418,1,8
196975,2.584493041749503,2,178,3341,1,7
328045,2.4992899744390797,2,172,3347,1,19
328049,2.783300198807157,2,192,3327,1,20
328051,2.8117012212439647,2,194,3325,1,22
57717,2.7690996875887532,6,183,3332,1,23
196983,2.911104799772792,11,183,3327,1,34
376,2.9253053109911957,3,200,3318,1,39
16761,1.959670548139733,2,134,3385,1,7
24953,4.501562056234024,78,161,3282,1,142
196987,0.8946322067594433,2,59,3460,1,7
57723,2.7406986651519456,6,181,3334,1,20
213373,4.274353876739562,66,169,3286,1,121
24958,1.150241408690713,2,77,3442,1,7
328061,2.5276909968758874,2,174,3345,1,20
33154,2.7406986651519456,2,189,3330,1,45
8582,0.9230332291962511,2,61,3458,1,5
49544,30.531099119568303,150,1850,1521,1,6635
41354,3.919341096279466,39,198,3284,1,95
328077,2.541891508094291,2,175,3344,1,21
213394,1.8034649247372905,3,121,3397,1,4
41364,3.3087191138881,23,187,3311,1,58
131476,2.726498153933542,2,188,3331,1,14
57750,0.07100255609201932,2,1,3518,1,3
49567,2.7690996875887532,4,187,3330,1,15
16800,2.5276909968758874,2,174,3345,1,21
24993,2.8401022436807724,8,184,3329,1,17
33185,2.9395058222095996,2,203,3316,1,39
41378,3.6211303606929848,11,233,3277,1,81
8612,3.2661175802328883,16,198,3307,1,82
25003,1.8176654359556943,2,124,3395,1,17
328112,4.061346208463505,39,208,3274,1,103
328114,2.783300198807157,2,192,3327,1,21
16820,0.7810281170122124,2,51,3468,1,3
16823,0.7384265833570008,2,48,3471,1,5
328119,2.5276909968758874,2,174,3345,1,20
328125,2.5560920193126955,2,176,3343,1,18
328126,3.606929849474581,20,214,3287,1,73
16832,2.6270945754047146,2,181,3338,1,11
49600,4.544163589889236,66,188,3267,1,169
41410,0.44021584777051975,2,27,3492,1,4
57795,2.4424879295654645,13,146,3362,1,30
49605,16.912808861119,102,987,2432,1,1431
16839,3.095711445612042,5,208,3308,1,35
49607,0.4970178926441352,2,31,3488,1,4
328137,2.9537063334280034,2,204,3315,1,40
8648,4.48736154501562,75,166,3280,1,136
33229,2.8685032661175804,2,198,3321,1,23
