hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
18041,50.46296296296296,1,107,0,0,62
201217,41.666666666666664,42,6,60,1,48
17415,22.22222222222222,3,42,63,1,7
212360,24.537037037037038,8,37,63,1,15
203405,23.61111111111111,12,27,69,1,18
203023,20.37037037037037,3,38,67,1,9
3856,37.96296296296296,32,18,58,1,301
151187,21.75925925925926,3,41,64,1,8
151188,25.0,3,48,57,1,14
917,32.870370370370374,15,41,52,1,2344
13335,37.03703703703704,29,22,57,1,1303
202776,21.296296296296298,3,40,65,1,6
6939,63.425925925925924,39,59,10,1,10627
150173,21.75925925925926,2,43,63,1,7
149791,1.8518518518518519,2,0,106,1,2
38047,22.22222222222222,3,42,63,1,22
199203,20.833333333333332,2,41,65,1,6
44324,35.18518518518518,29,18,61,1,73
60326,43.05555555555556,34,25,49,1,601
134823,31.944444444444443,6,57,45,1,518
150184,21.75925925925926,5,37,66,1,11
151338,24.074074074074073,4,44,60,1,16
42,40.27777777777778,36,15,57,1,406
204844,23.14814814814815,3,44,61,1,11
142641,21.75925925925926,3,41,64,1,9
203314,23.14814814814815,4,42,62,1,10
52025,35.18518518518518,29,18,61,1,169
131642,21.75925925925926,2,43,63,1,17
216123,22.685185185185187,2,45,61,1,7
140731,62.5,35,65,8,1,849
202939,36.574074074074076,34,11,63,1,48
215993,19.444444444444443,2,38,68,1,6
15169,35.18518518518518,28,20,60,1,395
203843,21.75925925925926,3,41,64,1,7
202820,21.75925925925926,3,41,64,1,6
213316,22.22222222222222,3,42,63,1,10
38852,21.296296296296298,3,40,65,1,5
142280,22.685185185185187,5,39,64,1,8
131657,22.685185185185187,2,45,61,1,13
38856,22.22222222222222,2,44,62,1,8
131149,24.074074074074073,2,48,58,1,88
199632,34.25925925925926,30,14,64,1,46
131668,1.8518518518518519,2,0,106,1,2
147028,21.296296296296298,2,42,64,1,5
983,29.166666666666668,13,37,58,1,143
207705,42.129629629629626,4,83,21,1,69
208223,23.61111111111111,5,41,62,1,14
150755,12.962962962962964,3,22,83,1,3
131171,21.296296296296298,3,40,65,1,7
197860,19.90740740740741,3,37,68,1,7
31972,22.22222222222222,2,44,62,1,10
48231,24.074074074074073,6,40,62,1,14
211946,31.01851851851852,22,23,63,1,28
212331,21.75925925925926,3,41,64,1,6
207468,1.8518518518518519,2,0,106,1,2
38254,22.685185185185187,4,41,63,1,13
209391,21.296296296296298,2,42,64,1,5
112,32.407407407407405,22,26,60,1,177
210932,24.074074074074073,7,38,63,1,12
138997,23.14814814814815,3,44,61,1,64
60539,25.462962962962962,11,33,64,1,62
18428,19.90740740740741,4,35,69,1,11
16509,31.01851851851852,20,27,61,1,363
25091,43.05555555555556,30,33,45,2,2973
199683,26.38888888888889,6,45,57,2,38
3204,36.574074074074076,29,21,58,2,187
212483,44.44444444444444,33,30,45,2,3165
51847,23.61111111111111,3,45,60,2,81
50058,27.314814814814813,4,51,53,2,153
31500,41.2037037037037,30,29,49,2,1838
3214,41.666666666666664,29,32,47,2,1642
8849,23.14814814814815,2,46,60,2,101
205593,42.129629629629626,30,31,47,2,641
212123,40.27777777777778,28,31,49,2,275
210937,41.2037037037037,30,29,49,2,1035
213151,40.74074074074074,29,30,49,2,1066
34854,38.888888888888886,28,28,52,2,291
7720,22.22222222222222,3,42,63,2,32
200105,20.833333333333332,2,41,65,2,6
208431,40.74074074074074,29,30,49,2,1203
945,35.648148148148145,18,41,49,2,1301
140984,41.2037037037037,28,33,47,2,689
34872,40.74074074074074,29,30,49,2,1062
8888,40.74074074074074,29,30,49,2,1460
58299,42.592592592592595,30,32,46,2,1689
199613,22.685185185185187,5,39,64,2,7
41666,41.666666666666664,28,34,46,2,851
210633,39.81481481481482,28,30,50,2,328
197580,39.81481481481482,28,30,50,2,811
210000,20.833333333333332,1,43,64,2,13
203472,30.09259259259259,10,45,53,2,159
56662,41.666666666666664,30,30,48,2,1082
41047,41.2037037037037,27,35,46,2,2951
6233,42.129629629629626,30,31,47,2,1742
204508,41.2037037037037,29,31,48,2,440
20473,46.2962962962963,23,54,31,2,1363
205794,38.888888888888886,27,30,51,2,385
198376,20.37037037037037,2,40,66,2,2
8298,44.907407407407405,31,35,42,2,2134
34927,45.833333333333336,31,37,40,2,2659
51185,42.129629629629626,30,31,47,2,3500
34549,41.2037037037037,30,29,49,2,1878
14840,41.2037037037037,29,31,48,2,5085
136620,15.277777777777779,1,31,76,2,18
49432,18.51851851851852,1,38,69,2,38
21282,17.59259259259259,1,36,71,2,15
15692,19.90740740740741,1,41,66,2,38
151193,6.944444444444445,1,13,94,2,3
