hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
6660,4.68564650059312,31,17,795,1,48
198148,1.482799525504152,3,19,821,1,9
34309,8.066429418742587,44,48,751,1,190
9226,2.2538552787663106,6,26,811,1,18
18450,3.736654804270463,10,43,790,1,50
32787,59.72716488730724,464,79,300,1,984
4628,3.736654804270463,17,29,797,1,41
134165,0.29655990510083036,2,1,840,1,3
7700,0.2372479240806643,2,0,841,1,2
23576,9.37129300118624,17,124,702,1,170
25627,5.9905100830367735,2,97,744,1,9
4635,33.333333333333336,9,544,290,1,308
136733,1.482799525504152,3,19,821,1,6
4637,38.730723606168446,16,621,206,1,664
7713,11.921708185053381,17,167,659,1,778
4134,12.158956109134046,8,189,646,1,320
131111,3.4400948991696323,20,18,805,1,53
17961,6.761565836298932,7,100,736,1,34
38442,2.906287069988138,9,31,803,1,27
45102,10.73546856465006,17,147,679,1,217
4657,13.345195729537366,13,199,631,1,373
64050,4.744958481613286,16,48,779,1,88
15412,8.185053380782918,8,122,713,1,282
137268,1.3641755634638197,2,19,822,1,4
53813,8.540925266903914,18,108,717,1,61
9269,9.9644128113879,17,134,692,1,177
17977,0.2372479240806643,2,0,841,1,2
14907,42.23013048635824,18,676,149,1,1657
45629,10.201660735468565,17,138,688,1,222
17984,6.880189798339265,7,102,734,1,27
2119,36.358244365361806,10,593,240,1,638
13896,8.303677342823251,17,106,720,1,152
15435,37.30723606168446,13,603,227,1,1027
35916,3.0842230130486357,7,38,798,1,37
139341,10.142348754448399,17,137,689,1,283
4685,2.550415183867141,7,29,807,1,25
1103,37.30723606168446,13,603,227,1,1075
8781,9.311981020166074,10,137,696,1,104
9299,10.972716488730724,16,153,674,1,244
58453,15.005931198102017,18,217,608,1,497
9304,43.29774614472123,19,692,132,1,1220
138840,3.3214709371293,14,28,801,1,236
133210,38.55278766310795,16,618,209,1,356
137819,1.2455516014234875,3,15,825,1,4
22616,7.473309608540926,9,108,726,1,66
45147,1.8979833926453145,2,28,813,1,49
62044,9.134045077105576,14,126,703,1,234
19551,12.752075919335706,19,177,647,1,503
58463,1.66073546856465,3,22,818,1,30
33891,41.281138790035584,16,664,163,1,1878
12389,7.591933570581258,8,112,723,1,1321
12390,7.354685646500593,7,110,726,1,94
133735,1.8386714116251484,2,27,814,1,4
9318,11.447212336892052,16,161,666,1,578
6762,34.22301304863583,5,567,271,1,647
132203,11.625148279952551,17,162,664,1,275
38001,41.57769869513642,17,667,159,1,632
40051,5.338078291814947,2,86,755,1,4
6774,7.769869513641756,13,105,725,1,496
397942,1.66073546856465,3,22,818,1,6
38008,36.41755634638197,12,590,241,1,450
16509,13.87900355871886,16,202,625,1,363
125,5.871886120996441,2,95,746,1,7
17534,2.491103202846975,5,32,806,1,29
50304,37.01067615658363,12,600,231,1,928
2687,10.023724792408066,20,129,694,1,124
45187,2.7283511269276395,8,30,805,1,27
4229,10.083036773428233,17,136,690,1,220
136838,2.965599051008304,13,24,806,1,36
41095,37.959667852906286,12,616,215,1,1254
10376,1.7200474495848161,2,25,816,1,6
45706,3.202846975088968,13,28,802,1,29
17547,3.5587188612099645,14,32,797,1,56
9354,3.6180308422301306,11,39,793,1,116
137870,1.0083036773428233,2,13,828,1,3
29838,5.100830367734282,13,60,770,1,319
138384,6.820877817319098,8,99,736,1,30
131219,4.567022538552788,14,49,780,1,46
4243,28.469750889679716,2,476,365,1,8
17557,9.905100830367735,14,139,690,1,290
137366,2.2538552787663106,7,24,812,1,42
203926,0.7710557532621589,2,9,832,1,3
23703,0.7710557532621589,2,9,832,1,3
4761,5.2194543297746145,18,52,773,1,311
9370,30.604982206405694,8,500,335,1,123
31898,31.90984578884935,18,502,323,1,283
3741,9.193357058125741,10,135,698,1,316
4766,11.743772241992882,8,182,653,1,631
6307,28.469750889679716,3,474,366,1,13
7843,8.837485172004746,5,139,699,1,56
4773,4.033214709371293,16,36,791,1,48
32934,13.87900355871886,18,198,627,1,401
4775,13.641755634638196,17,196,630,1,390
9381,5.27876631079478,18,53,772,1,242
9892,1.1862396204033214,2,16,825,1,3
132267,6.5836298932384345,9,93,741,1,14
8365,4.9228944246737845,11,61,771,1,174
3758,2.2538552787663106,3,32,808,1,114
4788,14.35349940688019,17,208,618,1,353
58552,8.066429418742587,15,106,722,1,141
135354,8.00711743772242,13,109,721,1,42
396986,12.218268090154211,17,172,654,1,325
45758,10.676156583629894,12,156,675,1,230
703,9.015421115065243,9,134,700,1,118
4800,4.863582443653618,17,48,778,1,353
137922,6.761565836298932,3,108,732,1,21
38082,9.430604982206406,16,127,700,1,96
4804,1.7200474495848161,2,25,816,1,6
4809,13.167259786476869,14,194,635,1,333
3786,10.201660735468565,8,156,679,1,474
9930,36.29893238434164,19,574,250,1,563
136907,11.981020166073547,17,168,658,1,313
14537,10.142348754448399,16,139,688,1,274
9929,4.033214709371293,2,64,777,1,24
19151,34.163701067615655,7,562,274,1,434
12496,8.00711743772242,7,121,715,1,98
16082,8.00711743772242,8,119,716,1,98
132819,1.66073546856465,2,24,817,1,8
23764,13.701067615658364,17,197,629,1,533
49362,7.888493475682088,4,125,714,1,50
54994,12.811387900355871,18,180,645,1,379
24568,1.2455516014234875,2,17,824,1,4
3292,9.015421115065243,4,144,695,1,188
132829,2.491103202846975,6,30,807,1,27
23774,1.9572953736654803,3,27,813,1,12
63199,10.55753262158956,17,144,682,1,219
45282,0.7117437722419929,2,8,833,1,3
137443,1.8386714116251484,3,25,815,1,30
132837,2.906287069988138,13,23,807,1,31
13030,11.743772241992882,12,174,657,1,847
3303,35.94306049822064,16,574,253,1,1177
17639,43.06049822064057,19,688,136,1,2070
1257,9.9644128113879,3,162,678,1,337
133865,3.202846975088968,14,26,803,1,35
394984,5.456702253855279,2,88,753,1,6
22764,7.295373665480427,2,119,722,1,14
13037,4.329774614472123,9,55,779,1,111
4837,9.845788849347569,4,158,681,1,135
4844,2.491103202846975,7,28,808,1,23
8426,35.705812574139976,11,580,252,1,529
14061,40.74733096085409,19,649,175,1,1677
7922,11.506524317912218,5,184,654,1,183
131314,8.718861209964412,17,113,713,1,150
141042,1.2455516014234875,3,15,825,1,3
17653,1.0676156583629892,3,12,828,1,3
58615,0.2372479240806643,2,0,841,1,2
3320,34.22301304863583,6,565,272,1,697
1273,33.0367734282325,11,535,297,1,292
6908,30.54567022538553,3,509,331,1,98
4862,8.066429418742587,16,104,723,1,51
24319,2.372479240806643,2,36,805,1,15
136961,0.2372479240806643,2,0,841,1,2
14593,9.134045077105576,16,122,705,1,215
2818,8.244365361803084,9,121,713,1,111
9989,2.1945432977461445,4,29,810,1,39
8966,37.66310794780546,16,603,224,1,592
8455,35.705812574139976,10,582,251,1,558
137991,3.0842230130486357,15,22,806,1,36
131337,1.0676156583629892,2,14,827,1,5
54538,6.049822064056939,3,96,744,1,10
9993,2.372479240806643,7,26,810,1,27
17676,35.40925266903915,7,583,253,1,298
2828,8.956109134045077,6,139,698,1,195
38158,6.049822064056939,16,70,757,1,337
133904,1.2455516014234875,2,17,824,1,3
58642,0.2372479240806643,2,0,841,1,2
1299,40.3914590747331,14,653,176,1,2453
10003,2.0166073546856467,4,26,813,1,12
786,8.00711743772242,5,125,713,1,97
17686,2.7876631079478056,7,33,803,1,38
9498,43.475682087781735,21,691,131,1,3136
6939,46.6785290628707,21,745,77,1,10627
3356,44.12811387900356,83,578,182,1,6656
10010,2.7876631079478056,8,31,804,1,65
15133,11.921708185053381,17,167,659,1,367
17180,0.2372479240806643,2,0,841,1,2
9505,10.083036773428233,16,138,689,1,131
10019,2.6097271648873073,7,30,806,1,27
1828,44.543297746144724,20,711,112,1,5711
5413,7.473309608540926,3,120,720,1,69
22822,12.39620403321471,12,185,646,1,264
45352,5.2194543297746145,17,54,772,1,194
10024,2.550415183867141,8,27,808,1,23
9002,44.306049822064054,19,709,115,1,3277
132399,1.0083036773428233,2,13,828,1,4
14127,7.829181494661921,9,114,720,1,115
38193,10.023724792408066,17,135,691,1,230
7474,29.893238434163703,9,486,348,1,228
38195,8.956109134045077,18,115,710,1,137
9009,37.188612099644125,19,589,235,1,1196
6453,39.027283511269275,11,636,196,1,663
6461,38.07829181494662,20,602,221,1,2626
15169,12.870699881376037,18,181,644,1,395
25934,6.761565836298932,4,106,733,1,12
45903,8.896797153024911,16,118,709,1,121
142160,3.1435349940688018,13,27,803,1,27
