hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
57344,34.542410714285715,248,123,525,1,371
38915,15.178571428571429,36,200,660,1,111
14340,14.229910714285714,20,215,661,1,106
20485,32.36607142857143,57,466,373,1,1559
24586,15.680803571428571,41,199,656,1,116
20495,27.901785714285715,57,386,453,1,515
53264,11.439732142857142,8,189,699,1,44
12306,17.131696428571427,50,207,639,1,162
32787,22.488839285714285,80,243,573,1,984
20504,14.341517857142858,28,201,667,1,94
8218,38.783482142857146,76,543,277,1,1685
8220,32.645089285714285,26,533,337,1,1863
12322,17.020089285714285,43,219,634,1,156
20514,6.696428571428571,2,116,778,1,10
4134,15.457589285714286,18,241,637,1,320
206889,4.966517857142857,2,85,809,1,4
10282,15.792410714285714,40,203,653,1,123
47147,39.00669642857143,67,565,264,1,1353
42,23.883928571428573,106,216,574,1,406
49193,0.27901785714285715,2,1,893,1,3
206897,0.27901785714285715,2,1,893,1,3
47155,10.9375,3,190,703,1,34
28725,18.861607142857142,65,208,623,1,198
28726,0.7254464285714286,3,7,886,1,4
43065,10.881696428571429,3,189,704,1,34
30781,38.28125,66,554,276,1,1198
12350,19.419642857142858,12,324,560,1,274
12355,17.354910714285715,53,205,638,1,149
2116,12.5,2,220,674,1,121
47172,15.848214285714286,31,222,643,1,119
10310,21.595982142857142,79,229,588,1,352
198726,17.075892857142858,57,192,647,1,146
12360,16.127232142857142,46,197,653,1,125
208966,0.27901785714285715,2,1,893,1,3
8262,24.888392857142858,86,274,536,1,262
28748,16.015625,46,195,655,1,121
139341,20.3125,74,216,606,1,283
200781,17.578125,47,221,628,1,158
20559,15.569196428571429,40,199,657,1,117
36944,17.689732142857142,43,231,622,1,174
20562,39.676339285714285,96,519,281,1,1355
41047,43.582589285714285,105,571,220,1,2952
43096,0.6138392857142857,2,7,887,1,3
47195,17.912946428571427,49,223,624,1,153
8289,10.714285714285714,3,186,707,1,32
12389,17.075892857142858,13,280,603,1,1321
12390,14.564732142857142,28,205,663,1,94
28773,16.852678571428573,52,198,646,1,140
30827,14.508928571428571,29,202,665,1,92
