hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
34019,99.88833054159687,1787,4,0,1,1791
200780,76.43774427694025,948,842,1,1,1044
35600,62.14405360134003,435,1356,0,1,450
8309,65.21496370742602,546,1244,1,1,814
30781,74.20435510887772,867,924,0,1,1198
57344,55.108877721943045,184,1606,1,2,370
196610,53.3500837520938,122,1667,2,2,141
204805,51.89838079285315,72,1715,4,2,93
24585,51.0608598548297,42,1745,4,2,44
24586,52.98715801228364,110,1678,3,2,115
57353,52.40089335566722,88,1701,2,2,98
196621,54.46677833612507,164,1623,4,2,166
204818,50.11166945840313,7,1781,3,2,12
32787,56.058068118369626,218,1572,1,2,983
213018,50.083752093802346,6,1782,3,2,9
8218,82.4678950307091,1163,628,0,2,1684
49183,52.84757118927973,104,1685,2,2,119
24611,51.28419877163596,49,1739,3,2,56
40999,52.14963707426019,81,1706,4,2,86
42,56.197654941373536,223,1567,1,2,405
8245,53.15466219988833,114,1676,1,2,136
49206,51.535455053042995,59,1728,4,2,75
213050,52.596314907872696,97,1690,4,2,99
213052,52.62423227247348,98,1689,4,2,108
24637,53.098827470686764,113,1676,2,2,149
57406,81.54662199888331,1131,659,1,2,1418
204869,51.17252931323283,44,1745,2,2,51
8262,54.69011725293132,168,1623,0,2,261
213065,50.47459519821329,21,1766,4,2,21
41033,52.95924064768286,108,1681,2,2,133
139341,55.13679508654383,185,1605,1,2,282
204881,52.95924064768286,108,1681,2,2,114
41041,52.81965382467895,105,1682,4,2,112
213075,52.17755443886097,81,1707,3,2,89
8283,55.08096035734226,184,1605,2,2,223
24679,52.81965382467895,103,1686,2,2,110
196714,52.98715801228364,109,1680,2,2,128
8298,89.44723618090453,1413,378,0,2,2134
8302,54.075935231714126,148,1641,2,2,159
204911,51.22836404243439,48,1739,4,2,50
112,52.9034059184813,106,1683,2,2,176
57455,52.31714126186488,86,1702,3,2,92
8304,54.38302624232273,158,1632,1,2,186
24691,52.345058626465665,86,1703,2,2,112
8308,53.48967057509771,126,1664,1,2,204
213110,49.97208263539922,2,1786,3,2,8
57463,54.77386934673367,172,1618,1,2,262
213111,50.02791736460078,5,1782,4,2,5
8315,57.06309324399777,257,1530,4,2,289
57468,51.28419877163596,49,1739,3,2,51
16509,55.22054718034617,189,1600,2,2,362
8319,52.84757118927973,103,1687,1,2,114
41090,52.84757118927973,105,1683,3,2,110
327813,51.22836404243439,48,1739,4,2,61
327814,52.596314907872696,95,1694,2,2,132
24717,50.083752093802346,6,1782,3,2,8
196752,52.68006700167504,100,1687,4,2,107
24723,53.07091010608598,111,1679,1,2,133
24724,56.197654941373536,223,1567,1,2,727
8339,52.9034059184813,105,1685,1,2,130
24730,52.95924064768286,109,1679,3,2,118
41114,53.545505304299276,128,1662,1,2,142
213151,73.08766052484646,828,962,1,2,1066
32934,56.197654941373536,223,1567,1,2,400
8359,57.78894472361809,281,1508,2,2,847
16552,54.718034617532105,170,1620,1,2,248
49321,52.345058626465665,86,1703,2,2,94
57512,51.9821328866555,74,1714,3,2,80
8365,53.82467895030709,139,1650,2,2,173
8368,54.718034617532105,171,1618,2,2,207
24753,51.17252931323283,46,1741,4,2,52
8374,53.238414293690674,117,1673,1,2,158
213183,50.055834729201564,6,1781,4,2,6
57537,52.98715801228364,109,1680,2,2,117
204995,52.54048017867113,95,1692,4,2,102
8391,53.238414293690674,117,1673,1,2,131
24776,51.31211613623674,49,1740,2,2,56
196810,51.116694584031265,44,1743,4,2,46
205005,50.055834729201564,6,1781,4,2,7
8399,53.79676158570631,136,1655,0,2,151
8400,54.46677833612507,162,1627,2,2,290
24785,53.99218313791178,147,1640,4,2,228
205010,50.6141820212172,25,1763,3,2,26
49375,52.79173646007817,104,1683,4,2,120
213216,50.753768844221106,31,1756,4,2,31
8422,54.048017867113344,147,1642,2,2,206
41191,51.005025125628144,39,1749,3,2,41
8426,60.022333891680624,360,1430,1,2,528
196844,54.24343941931882,153,1637,1,2,208
131314,53.21049692908989,117,1672,2,2,149
250,53.098827470686764,113,1676,2,2,121
16637,53.60134003350084,131,1658,2,2,202
8445,52.79173646007817,102,1687,2,2,118
8447,79.06197654941373,1042,748,1,2,1359
8452,53.685092127303186,133,1657,1,2,215
8453,51.17252931323283,46,1741,4,2,50
8462,53.545505304299276,129,1660,2,2,140
196879,52.428810720268004,89,1700,2,2,96
327956,51.08877721943048,42,1746,3,2,45
8469,52.98715801228364,109,1680,2,2,116
8473,54.215522054718036,153,1636,2,2,225
49434,60.692350642099385,384,1406,1,2,404
57626,51.17252931323283,46,1741,4,2,48
213279,51.256281407035175,49,1738,4,2,54
293,52.2892238972641,86,1701,4,2,177
8487,53.62925739810162,131,1659,1,2,147
57642,50.94919039642658,37,1751,3,2,39
24875,53.768844221105525,138,1650,3,2,194
49453,53.43383584589615,127,1660,4,2,155
205103,51.31211613623674,51,1736,4,2,57
49463,52.735901730876606,101,1687,3,2,107
205112,73.28308207705193,835,955,1,2,962
24889,56.92350642099386,250,1539,2,2,257
196922,53.71300949190397,135,1654,2,2,154
213307,52.31714126186488,86,1702,3,2,89
41275,52.205471803461755,82,1706,3,2,91
196925,53.57342266890006,129,1661,1,2,187
33082,49.944165270798436,2,1785,4,2,3
213317,50.195421552205474,9,1780,2,2,13
49477,50.055834729201564,6,1781,4,2,7
24904,50.27917364600782,14,1773,4,2,19
41289,52.596314907872696,95,1694,2,2,101
49489,51.08877721943048,43,1744,4,2,45
8529,55.3322166387493,192,1598,1,2,244
196954,52.65214963707426,97,1692,2,2,103
8540,52.568397543271914,94,1695,2,2,109
57695,70.99385817978782,753,1037,1,2,824
8544,53.768844221105525,136,1654,1,2,170
41313,54.02010050251256,145,1645,1,2,210
49505,53.15466219988833,115,1674,2,2,150
8551,54.94137353433836,178,1612,1,2,344
196968,52.568397543271914,95,1693,3,2,103
8554,51.42378559463987,54,1734,3,2,61
24940,54.77386934673367,172,1618,1,2,259
41327,77.47068676716918,984,807,0,2,2647
8560,65.60580681183696,559,1232,0,2,672
8565,51.22836404243439,47,1741,3,2,51
