hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
57344,32.73694390715667,306,65,663,1,371
18438,7.30174081237911,2,147,885,1,11
38919,6.528046421663443,2,131,901,1,3
20495,24.27466150870406,103,296,635,1,515
32787,57.05996131528046,499,182,353,1,984
59414,32.10831721470019,22,620,392,1,209
8218,46.37330754352031,131,697,206,1,1685
8220,42.11798839458414,62,747,225,1,1863
4134,16.97292069632495,33,285,716,1,320
204841,0.43520309477756286,2,5,1027,1,3
42,23.74274661508704,161,169,704,1,406
47147,45.889748549323016,128,693,213,1,1353
6204,19.43907156673114,120,162,752,1,196
12350,16.97292069632495,37,277,720,1,274
208960,10.880077369439071,5,215,814,1,10
41026,9.381044487427467,4,186,844,1,10
10310,22.147001934235977,136,186,712,1,352
2119,42.5531914893617,80,720,234,1,638
200780,43.42359767891683,120,658,256,1,1044
20562,45.889748549323016,158,633,243,1,1355
6233,46.808510638297875,158,652,224,1,1743
8283,19.63249516441006,120,166,748,1,224
24675,0.4835589941972921,2,6,1026,1,4
12388,0.19342359767891681,2,0,1032,1,2
49258,3.965183752417795,2,78,954,1,3
8302,17.843326885880078,94,181,759,1,160
34927,48.93617021276596,167,678,189,1,2660
8308,17.408123791102515,93,174,767,1,205
196730,7.011605415860735,3,139,892,1,5
8315,35.928433268858804,94,555,385,1,290
16509,23.065764023210832,113,251,670,1,363
4229,19.825918762088975,118,174,742,1,220
41095,35.5899419729207,50,636,348,1,1254
28810,0.5319148936170213,2,7,1025,1,3
43153,10.444874274661508,11,194,829,1,19
24724,19.777562862669246,101,207,726,1,728
43171,9.429400386847195,4,187,843,1,12
32934,25.58027079303675,158,213,663,1,401
47272,14.216634429400386,47,200,787,1,122
174,27.901353965183752,85,407,542,1,6778
30900,11.170212765957446,6,219,809,1,13
198838,4.25531914893617,2,84,948,1,3
207033,10.493230174081237,2,213,819,1,6
137409,40.47388781431334,133,571,330,1,912
24784,5.705996131528046,3,112,919,1,3
24785,13.878143133462283,26,235,773,1,229
213202,5.029013539651838,2,100,932,1,4
51414,0.19342359767891681,2,0,1032,1,3
8412,11.55705996131528,10,219,805,1,86
59622,8.51063829787234,4,168,862,1,7
196844,19.197292069632496,123,151,760,1,209
200947,0.19342359767891681,2,0,1032,1,2
8455,39.990328820116055,65,697,272,1,558
41238,3.6750483558994196,2,72,960,1,3
209181,16.827852998065765,73,202,759,1,122
286,24.032882011605416,44,409,581,1,1605
14630,46.17988394584139,133,689,212,1,1487
22822,21.421663442940037,103,237,694,1,264
59689,14.700193423597678,34,236,764,1,115
24875,18.230174081237912,90,197,747,1,195
49453,17.843326885880078,94,181,759,1,156
6453,38.007736943907155,28,730,276,1,663
24889,16.924564796905223,79,192,763,1,258
201020,11.315280464216634,6,222,806,1,14
6461,42.26305609284333,62,750,222,1,2626
35133,11.750483558994198,12,219,803,1,34
49468,7.882011605415861,3,157,874,1,6
31042,44.052224371373306,158,595,281,1,954
20804,20.986460348162474,137,160,737,1,464
207176,17.311411992263057,87,184,763,1,139
43350,19.680851063829788,132,143,759,1,212
201054,11.460348162475823,6,225,803,1,439
29028,10.638297872340425,7,206,821,1,23
43366,16.586073500967117,77,189,768,1,133
205160,10.880077369439071,7,211,816,1,11
31080,11.315280464216634,10,214,810,1,17
6507,21.760154738878143,121,208,705,1,274
41327,48.06576402321083,146,702,186,1,2648
8560,40.90909090909091,137,572,325,1,673
20847,18.423597678916828,107,167,760,1,169
35187,0.24177949709864605,2,1,1031,1,3
59776,0.19342359767891681,2,0,1032,1,2
209285,3.04642166344294,2,59,973,1,3
49544,53.1431334622824,185,729,120,1,6635
197000,15.667311411992262,72,180,782,1,121
29075,47.63056092843327,146,693,195,1,1924
43414,16.586073500967117,84,175,775,1,130
2484,18.617021276595743,119,147,768,1,167
39351,50.193423597678915,180,678,176,1,2613
47544,11.266924564796906,9,215,810,1,18
49600,17.214700193423596,84,188,762,1,169
2497,32.785299806576404,16,646,372,1,335
10690,7.30174081237911,2,147,885,1,8
35274,0.19342359767891681,2,0,1032,1,2
20940,41.92456479690522,162,543,329,1,529
29135,5.319148936170213,2,106,926,1,3
35280,48.16247582205029,146,704,184,1,5649
8657,16.48936170212766,59,223,752,1,140
57811,16.054158607350097,70,192,772,1,123
2516,31.963249516441007,6,649,379,1,301
207329,5.319148936170213,2,106,926,1,3
8674,20.889748549323016,127,178,729,1,305
29169,34.96131528046422,64,595,375,1,205
25091,50.24177949709865,179,681,174,1,2974
35332,12.572533849129593,18,224,792,1,49
6663,20.11605415860735,120,176,738,1,332
57866,13.007736943907156,10,249,775,1,157
6667,37.18568665377176,50,669,315,1,468
205325,0.24177949709864605,2,1,1031,1,4
57875,0.4835589941972921,2,6,1026,1,3
8726,0.24177949709864605,2,1,1031,1,3
29208,44.00386847195358,124,662,248,1,953
12827,10.783365570599614,6,211,817,1,11
10780,10.831721470019342,3,218,813,1,24
4637,38.152804642166345,78,633,323,1,664
199197,9.284332688588007,3,186,845,1,7
197155,11.750483558994198,9,225,800,1,23
31267,5.319148936170213,2,106,926,1,3
29222,33.22050290135397,24,639,371,1,237
12842,11.60541586073501,17,206,811,1,21
2603,36.55705996131528,71,614,349,1,510
209453,11.847195357833655,13,219,802,1,32
559,45.744680851063826,127,692,215,1,1260
8758,45.59961315280464,125,693,216,1,1272
47674,17.11798839458414,81,192,761,1,132
12859,46.37330754352031,131,697,206,1,1194
14907,45.889748549323016,108,733,193,1,1657
8763,16.924564796905223,89,172,773,1,135
577,13.878143133462283,7,273,754,1,296
197186,0.19342359767891681,2,0,1032,1,2
205384,9.429400386847195,4,187,843,1,9
33353,22.292069632495163,133,195,706,1,266
6730,12.475822050290136,5,248,781,1,235
8778,12.330754352030947,20,215,799,1,51
62031,9.429400386847195,4,187,843,1,9
39507,11.073500967117988,8,213,813,1,12
8793,11.798839458413926,18,208,808,1,27
25180,13.152804642166345,19,234,781,1,120
39521,11.943907156673115,11,225,798,1,20
6762,39.16827852998066,41,728,265,1,647
35434,11.121856866537717,8,214,812,1,19
6768,12.379110251450676,18,220,796,1,80
6774,21.711798839458414,106,237,691,1,496
57976,23.93617021276596,153,189,692,1,313
14969,10.541586073500968,8,202,824,1,16
2686,19.922630560928432,80,252,702,1,306
62081,11.508704061895552,2,234,798,1,268
58010,15.522243713733076,59,203,772,1,102
12956,36.21856866537718,7,735,292,1,255
4766,15.377176015473887,26,266,742,1,631
203422,3.723404255319149,2,73,959,1,3
60064,17.940038684719536,89,193,752,1,147
43681,0.19342359767891681,2,0,1032,1,3
51873,31.963249516441007,20,621,393,1,188
60068,25.483558994197292,85,357,592,1,711
47787,46.61508704061895,131,702,201,1,3834
8888,46.22823984526112,145,666,223,1,1461
201401,16.344294003868473,77,184,773,1,120
701,16.150870406189554,15,304,715,1,1332
702,14.60348162475822,15,272,747,1,242
6848,10.97678916827853,2,223,809,1,32
714,23.11411992263056,132,214,688,1,313
6881,30.60928433268859,10,613,411,1,196
4837,13.97485493230174,3,283,748,1,135
199408,10.444874274661508,7,202,825,1,18
199409,0.19342359767891681,2,0,1032,1,2
21244,10.493230174081237,3,211,820,1,6
39686,12.524177949709864,13,233,788,1,91
2828,13.636363636363637,4,274,756,1,195
47890,8.945841392649903,5,175,854,1,11
786,13.636363636363637,28,226,780,1,97
39704,17.214700193423596,85,186,763,1,148
6939,55.41586073500967,212,722,100,1,10627
15133,24.22630560928433,149,203,682,1,367
211742,0.5802707930367504,2,8,1024,1,3
31529,18.617021276595743,103,179,752,1,205
9002,49.32301740812379,152,716,166,1,3277
812,12.427466150870407,6,245,783,1,207
9009,46.95357833655706,145,681,208,1,1196
49981,20.067698259187623,120,175,739,1,228
58175,6.866537717601547,2,138,894,1,7
13119,11.170212765957446,8,215,811,1,27
15169,24.22630560928433,148,205,681,1,395
197440,17.891682785299807,112,146,776,1,169
9044,46.17988394584139,140,675,219,1,1034
37721,49.37137330754352,170,681,183,1,4894
2906,23.69439071566731,139,212,683,1,364
54113,24.323017408123793,144,215,675,1,368
2914,40.135396518375245,45,740,249,1,1531
199524,51.25725338491296,186,688,160,1,5265
7018,32.156673114119926,24,617,393,1,2384
201586,1.9342359767891684,2,36,996,1,3
201592,0.19342359767891681,2,0,1032,1,2
58247,6.431334622823985,2,129,903,1,6
35745,11.411992263056092,10,216,808,1,25
25506,11.266924564796906,10,213,811,1,21
48052,3.1431334622823983,2,61,971,1,3
13237,47.38878143133462,140,700,194,1,2062
41913,18.13346228239845,81,213,740,1,178
58299,47.38878143133462,147,686,201,1,1690
39869,10.880077369439071,2,221,811,1,16
201663,0.19342359767891681,2,0,1032,1,2
43984,8.655705996131529,6,167,861,1,11
58334,10.783365570599614,4,215,815,1,11
23520,12.379110251450676,3,250,781,1,206
5089,9.526112185686653,7,183,844,1,87
41960,17.02127659574468,87,178,769,1,143
58349,12.427466150870407,15,227,792,1,32
31736,12.524177949709864,15,229,790,1,52
29691,41.44100580270793,92,673,269,1,657
60425,4.158607350096712,2,82,950,1,3
13335,29.545454545454547,157,297,580,1,1303
44061,11.266924564796906,8,217,809,1,17
33838,10.735009671179885,4,214,816,1,10
15412,17.64990328820116,55,255,724,1,282
44103,21.131528046421664,60,317,657,1,388
15435,45.6963249516441,116,713,205,1,1027
1103,45.59961315280464,119,705,210,1,1075
50266,16.634429400386846,73,198,763,1,122
44124,11.266924564796906,8,217,809,1,20
19551,22.63056092843327,135,198,701,1,503
33891,45.45454545454545,108,724,202,1,1878
1126,17.408123791102515,88,184,762,1,141
13414,20.599613152804643,118,190,726,1,227
42090,10.97678916827853,6,215,813,1,10
42093,17.02127659574468,82,188,764,1,134
15470,0.19342359767891681,2,0,1032,1,2
1136,13.636363636363637,29,224,781,1,96
394354,18.810444874274662,103,183,748,1,212
1140,43.47195357833656,94,711,229,1,859
