hijacker ASN,AVG,success, partial, failure,linkLevel,number direct Neighbors
57344,12.69689737470167,161,210,1724,1,371
196610,5.202863961813843,4,210,1881,1,142
49158,3.8424821002386635,3,155,1937,1,80
24585,2.79236276849642,2,113,1980,1,45
57353,4.2959427207637235,2,176,1917,1,99
57354,1.694510739856802,2,67,2026,1,20
57356,4.009546539379475,5,158,1932,1,85
196621,5.298329355608592,3,216,1876,1,167
24594,4.176610978520286,5,165,1925,1,96
32787,7.995226730310263,27,281,1787,1,984
57363,3.054892601431981,2,124,1969,1,53
8218,28.281622911694512,17,1151,927,1,1685
49183,4.606205250596659,3,187,1905,1,120
41000,4.176610978520286,3,169,1923,1,96
42,8.735083532219571,39,288,1768,1,406
213035,3.460620525059666,11,123,1961,1,59
213039,2.5775656324582337,4,100,1991,1,27
213045,2.840095465393795,6,107,1982,1,66
8245,4.964200477326969,6,196,1893,1,137
204856,0.0954653937947494,2,0,2093,1,2
57401,2.5059665871121717,5,95,1995,1,34
24637,4.964200477326969,4,200,1891,1,150
213054,3.818615751789976,3,154,1938,1,81
57406,32.95942720763723,7,1367,721,1,1419
62,4.2243436754176615,42,93,1960,1,123
8262,8.615751789976134,25,311,1759,1,262
41033,4.630071599045346,2,190,1903,1,134
139341,6.897374701670644,20,249,1826,1,283
204881,4.677804295942721,3,190,1902,1,115
41041,4.6539379474940334,4,187,1904,1,113
213075,3.8663484486873507,2,158,1935,1,90
24663,2.840095465393795,6,107,1982,1,41
41047,37.06443914081146,32,1489,574,1,2952
8282,4.009546539379475,3,162,1930,1,90
8283,6.587112171837709,24,228,1843,1,224
213094,4.009546539379475,3,162,1930,1,86
24679,4.534606205250597,2,186,1907,1,111
8298,32.33890214797136,25,1305,765,1,2135
196714,4.701670644391408,3,191,1901,1,129
8301,4.200477326968974,8,160,1927,1,101
8302,5.608591885441528,7,221,1867,1,160
57455,3.9856801909307875,2,163,1930,1,93
8304,6.229116945107399,15,231,1849,1,187
24691,4.2243436754176615,12,153,1930,1,113
204916,2.2911694510739857,2,92,2001,1,16
8309,20.071599045346062,14,813,1268,1,814
8308,5.250596658711217,3,214,1878,1,205
57463,7.255369928400954,20,264,1811,1,263
41082,2.2911694510739857,3,90,2002,1,26
8315,8.162291169451073,8,326,1761,1,290
16509,7.422434367541766,23,265,1807,1,363
8319,4.4391408114558475,3,180,1912,1,115
213126,1.8138424821002386,2,72,2021,1,5
327814,4.701670644391408,14,169,1912,1,133
16524,2.4105011933174225,5,91,1999,1,24
196752,4.463007159904534,4,179,1912,1,108
24723,4.677804295942721,2,192,1901,1,134
24724,10.763723150357995,6,439,1650,1,728
41107,3.8424821002386635,3,155,1937,1,84
8339,4.749403341288783,7,185,1903,1,131
8342,2.4821002386634845,2,100,1993,1,36
24730,4.558472553699284,5,181,1909,1,119
41114,5.298329355608592,13,196,1886,1,143
213151,25.536992840095465,10,1050,1035,1,1067
32934,8.687350835322196,39,286,1770,1,401
8359,10.978520286396181,10,440,1645,1,848
