amsix.ams.routeviews.org,29075,80.249.208.27,973607,FR,ripencc,IELO,IELO,Main,"Network,",FR,,
amsix.ams.routeviews.org,1103,80.249.208.34,977613,NL,ripencc,SURFNET-NL,"SURFnet,",The,"Netherlands,",NL,,
amsix.ams.routeviews.org,1140,80.249.208.49,577172,NL,ripencc,"SIDN,",NL
amsix.ams.routeviews.org,6830,80.249.208.106,968971,NL,ripencc,LIBERTYGLOBAL,Liberty,Global,formerly,UPC,Broadband,"Holding,",aka,"AORTA,",NL,,
amsix.ams.routeviews.org,49544,80.249.208.162,982666,NL,ripencc,"I3DNET,",NL
amsix.ams.routeviews.org,6777,80.249.208.255,102544,NL,ripencc,"AMS-IX-RS,",NL
amsix.ams.routeviews.org,6777,80.249.209.0,102624,NL,ripencc,"AMS-IX-RS,",NL
amsix.ams.routeviews.org,8075,80.249.209.20,933,US,arin,"MICROSOFT-CORP-MSN-AS-BLOCK,",US
amsix.ams.routeviews.org,8075,80.249.209.21,807,US,arin,"MICROSOFT-CORP-MSN-AS-BLOCK,",US
amsix.ams.routeviews.org,32934,80.249.209.115,37,US,arin,"FACEBOOK,",US
amsix.ams.routeviews.org,32934,80.249.209.164,37,US,arin,"FACEBOOK,",US
amsix.ams.routeviews.org,2119,80.249.209.192,798,NO,ripencc,TELENOR-NEXTEL,Telenor,Norge,"AS,",NO,,
amsix.ams.routeviews.org,20940,80.249.209.208,93,NL,ripencc,"AKAMAI-ASN1,",NL
amsix.ams.routeviews.org,3320,80.249.209.211,968776,DE,ripencc,DTAG,Internet,service,provider,"operations,",DE,
amsix.ams.routeviews.org,9002,80.249.209.216,970267,GB,ripencc,"RETN-AS,",GB
amsix.ams.routeviews.org,39120,80.249.210.28,990851,IT,ripencc,CONVERGENZE-AS,ISP,services,in,"Italy,",IT,
amsix.ams.routeviews.org,34177,80.249.210.38,972145,FR,ripencc,CELESTE-AS,CELESTE,-,Internet,services,"provider,",FR
amsix.ams.routeviews.org,31449,80.249.210.71,2,BE,ripencc,AS31449,AS31449.net,European,"Network,",BE,,
amsix.ams.routeviews.org,16509,80.249.210.100,2452,US,arin,"AMAZON-02,",US
amsix.ams.routeviews.org,199524,80.249.210.150,973718,LU,ripencc,"GCORE,",LU
amsix.ams.routeviews.org,51185,80.249.210.163,141802,IT,ripencc,"MAINSTREAMING-AS,",IT
amsix.ams.routeviews.org,136907,80.249.210.185,1,HK,apnic,HWCLOUDS-AS-AP,HUAWEI,"CLOUDS,",HK,,,
amsix.ams.routeviews.org,16509,80.249.210.217,2452,US,arin,"AMAZON-02,",US
amsix.ams.routeviews.org,61049,80.249.210.252,971333,GB,ripencc,"EXASCALE,",GB
amsix.ams.routeviews.org,30844,80.249.211.45,974391,GB,ripencc,"LIQUID-AS,",GB
amsix.ams.routeviews.org,213241,80.249.211.162,873044,BE,ripencc,"TECHIT,",BE
amsix.ams.routeviews.org,56987,80.249.211.234,974444,FR,ripencc,"AS-ABACLOUDA,",FR
amsix.ams.routeviews.org,398465,80.249.212.41,970073,US,arin,"RACKDOG-LLC,",US
amsix.ams.routeviews.org,42541,80.249.212.84,970492,DK,ripencc,"FIBERBY,",DK
amsix.ams.routeviews.org,3399,80.249.212.156,969945,SE,ripencc,"OBE-NET,",SE
amsix.ams.routeviews.org,32934,80.249.212.174,37,US,arin,"FACEBOOK,",US
amsix.ams.routeviews.org,32934,80.249.212.175,37,US,arin,"FACEBOOK,",US
amsix.ams.routeviews.org,293,80.249.213.7,994780,US,arin,"ESNET,",US
amsix.ams.routeviews.org,37271,80.249.213.52,974391,ZA,afrinic,"Workonline,",ZA
amsix.ams.routeviews.org,37497,80.249.213.88,973774,ZA,afrinic,"Network-Platforms,",ZA
amsix.ams.routeviews.org,64289,80.249.214.73,987736,US,arin,"MACARNE,",US
amsix.ams.routeviews.org,28283,80.249.214.120,386,BR,lacnic,Adylnet,"Telecom,",BR,,,,
amsix.ams.routeviews.org,6204,80.249.214.200,978968,RO,ripencc,ZET-NET,ZET.NET,IP,"Transit,",RO,,
amsix.ams.routeviews.org,20253,80.249.215.28,969808,US,arin,"QWILTED-PROD-01,",US
amsix.ams.routeviews.org,136907,80.249.215.171,1,HK,apnic,HWCLOUDS-AS-AP,HUAWEI,"CLOUDS,",HK,,,
amsix.ams.routeviews.org,293,2001:7f8:1::a500:293:1,213573,US,arin,"ESNET,",US
amsix.ams.routeviews.org,1103,2001:7f8:1::a500:1103:2,208362,NL,ripencc,SURFNET-NL,"SURFnet,",The,"Netherlands,",NL,,
amsix.ams.routeviews.org,1140,2001:7f8:1::a500:1140:1,207868,NL,ripencc,"SIDN,",NL
amsix.ams.routeviews.org,2119,2001:7f8:1::a500:2119:1,139,NO,ripencc,TELENOR-NEXTEL,Telenor,Norge,"AS,",NO,,
amsix.ams.routeviews.org,3320,2001:7f8:1::a500:3320:1,192618,DE,ripencc,DTAG,Internet,service,provider,"operations,",DE,
